molregno	level5	level1_description	level2_description	level3_description	level4_description
674489	A07EA04	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Corticosteroids acting locally
65538	N05AD05	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Butyrophenone derivatives
21036	A16AA04	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Amino acids and derivatives
1246443	A06AA02	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Softeners, emollients
9372	N06DA02	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTI-DEMENTIA DRUGS	Anticholinesterases
367860	L04AA29	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
674513	A07EA02	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Corticosteroids acting locally
699483	C08CA16	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	Dihydropyridine derivatives
421902	P03AC04	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES	Pyrethrines, incl. synthetic compounds
320810	R06AD03	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Phenothiazine derivatives
150313	D07AA02	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, weak (group I)
1379700	G01AF18	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Imidazole derivatives
393440	C05CA53	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	CAPILLARY STABILIZING AGENTS	Bioflavonoids
54211	C09CA02	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ANGIOTENSIN II ANTAGONISTS, PLAIN	Angiotensin II antagonists, plain
316208	N06AA05	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
150549	R03DX01	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Other systemic drugs for obstructive airway diseases
181585	C04AX26	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Other peripheral vasodilators
3012	N05CH01	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Melatonin receptor agonists
439020	V03AB02	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
873560	G01AF06	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Imidazole derivatives
4941	J04AC51	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Hydrazides
80209	N05AF03	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Thioxanthene derivatives
255947	M09AA72	MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	Quinine and derivatives
652997	N01BA04	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Esters of aminobenzoic acid
954312	C05AA09	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Corticosteroids
1383402	A08AA09	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Centrally acting antiobesity products
1152056	P01AR03	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Arsenic compounds
2096376	N02BA15	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
1376793	A03FA08	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	PROPULSIVES	Propulsives
1380936	J06BB21	ANTIINFECTIVES FOR SYSTEMIC USE	IMMUNE SERA AND IMMUNOGLOBULINS	IMMUNOGLOBULINS	Specific immunoglobulins
1383081	C02CC05	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Guanidine derivatives
458901	J01XX06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER ANTIBACTERIALS	Other antibacterials
122170	N03AG06	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Fatty acid derivatives
675608	B01AB09	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Heparin group
359778	V03AB04	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
19101	P01AX07	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Other agents against amoebiasis and other protozoal diseases
1616	J01MA13	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
255904	D01AC08	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Imidazole and triazole derivatives
485902	J01DB05	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	First-generation cephalosporins
20496	M01AC06	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Oxicams
2326	N05CA06	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
6723	R02AD02	RESPIRATORY SYSTEM	THROAT PREPARATIONS	THROAT PREPARATIONS	Anesthetics, local
1379795	V10XX01	VARIOUS	THERAPEUTIC RADIOPHARMACEUTICALS	OTHER THERAPEUTIC RADIOPHARMACEUTICALS	Various therapeutic radiopharmaceuticals
373973	P01AA01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Hydroxyquinoline derivatives
33469	C02CA06	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Alpha-adrenoreceptor antagonists
1145509	V09AX05	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	CENTRAL NERVOUS SYSTEM	Other central nervous system diagnostic radiopharmaceuticals
1381428	B05AA10	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	BLOOD AND RELATED PRODUCTS	Blood substitutes and plasma protein fractions
755916	B01AC18	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
675534	A10AF01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	INSULINS AND ANALOGUES	Insulins and analogues for inhalation
1380942	A16AB12	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Enzymes
2039256	B03AB04	BLOOD AND BLOOD FORMING ORGANS	ANTIANEMIC PREPARATIONS	IRON PREPARATIONS	Iron trivalent, oral preparations
16530	P03AB01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES	Chlorine containing products
674513	D07AA02	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, weak (group I)
675484	J06BB16	ANTIINFECTIVES FOR SYSTEMIC USE	IMMUNE SERA AND IMMUNOGLOBULINS	IMMUNOGLOBULINS	Specific immunoglobulins
1592409	C09AA09	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ACE INHIBITORS, PLAIN	ACE inhibitors, plain
262631	N06AX01	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
2039233	V09DX01	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	HEPATIC AND RETICULO ENDOTHELIAL SYSTEM	Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals
675142	R06AE09	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Piperazine derivatives
255221	S01ED54	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Beta blocking agents 1)
675343	D07AB03	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, moderately potent (group II)
860	G03CC05	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ESTROGENS	Estrogens, combinations with other drugs
675015	S01BA07	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Corticosteroids, plain
1347273	R03BA08	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	Glucocorticoids
675561	B06AA03	BLOOD AND BLOOD FORMING ORGANS	OTHER HEMATOLOGICAL AGENTS	OTHER HEMATOLOGICAL AGENTS	Enzymes
453564	C03AA08	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, THIAZIDES	Thiazides, plain
134333	C03BA04	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, EXCL. THIAZIDES	Sulfonamides, plain
1380712	A10BX01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Other blood glucose lowering drugs, excl. insulins
835863	R06AC05	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Substituted ethylene diamines
381691	D07XB02	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, OTHER COMBINATIONS	Corticosteroids, moderately potent, other combinations
315123	M03BB53	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	Oxazol, thiazine, and triazine derivatives
63649	L04AX04	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Other immunosuppressants
139268	C07AB10	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
1381400	L03AA03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSTIMULANTS	IMMUNOSTIMULANTS	Colony stimulating factors
176875	N06AA14	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
418428	B01AC02	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
563573	V08AA02	VARIOUS	CONTRAST MEDIA	X-RAY CONTRAST MEDIA, IODINATED	Watersoluble, nephrotropic, high osmolar X-ray contrast media
1209273	G03XA02	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	Antigonadotropins and similar agents
276734	L01XE05	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
699373	L04AC07	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Interleukin inhibitors
675371	L04AB01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Tumor necrosis factor alpha (TNF-&alpha;) inhibitors
675038	N04BC06	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Dopamine agonists
60319	B01AC05	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
1449158	S01LA01	SENSORY ORGANS	OPHTHALMOLOGICALS	OCULAR VASCULAR DISORDER AGENTS	Antineovascularisation agents
1376610	D06BB08	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Antivirals
675176	D08AG03	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Iodine products
23093	G04CA03	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	Alpha-adrenoreceptor antagonists
68607	L01CB01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS	Podophyllotoxin derivatives
111390	N05BA09	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
674919	S01CB03	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	Corticosteroids/antiinfectives/mydriatics in combination
1381438	C01AA03	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC GLYCOSIDES	Digitalis glycosides
1377987	L01XE26	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
1340277	N05AX15	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Other antipsychotics
675465	R05DA04	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	Opium alkaloids and derivatives
54051	R06AB51	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Substituted alkylamines
1536282	S01JA02	SENSORY ORGANS	OPHTHALMOLOGICALS	DIAGNOSTIC AGENTS	Colouring agents
754676	G01AB01	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Arsenic compounds
1531962	M01CB04	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	SPECIFIC ANTIRHEUMATIC AGENTS	Gold preparations
675515	B01AB01	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Heparin group
371614	D08AJ06	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Quaternary ammonium compounds
1383470	N05AX07	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Other antipsychotics
674816	S01BA14	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Corticosteroids, plain
139237	N02AX05	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Other opioids
1280	N02BA01	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
1376043	A03AB06	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Synthetic anticholinergics, quaternary ammonium compounds
119300	J01MB03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Other quinolones
95805	N06BX01	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Other psychostimulants and nootropics
27278	N06AX16	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
674536	A14AA05	ALIMENTARY TRACT AND METABOLISM	ANABOLIC AGENTS FOR SYSTEMIC USE	ANABOLIC STEROIDS	Androstan derivatives
182546	A07EA01	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Corticosteroids acting locally
1152049	P01AA05	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Hydroxyquinoline derivatives
1043745	C04AX21	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Other peripheral vasodilators
675812	A02BC06	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	Proton pump inhibitors
674874	V09DA01	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	HEPATIC AND RETICULO ENDOTHELIAL SYSTEM	Technetium (99mTc) compounds
675015	S01CB05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	Corticosteroids/antiinfectives/mydriatics in combination
1216	J01EA01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Trimethoprim and derivatives
1248695	J01CA14	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Penicillins with extended spectrum
674969	J01DC04	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Second-generation cephalosporins
421034	N02CC06	NERVOUS SYSTEM	ANALGESICS	ANTIMIGRAINE PREPARATIONS	Selective serotonin (5HT1) agonists
49226	R03AC04	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Selective beta-2-adrenoreceptor agonists
1994	R03CB51	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Non-selective beta-adrenoreceptor agonists
674525	B05CB01	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	IRRIGATING SOLUTIONS	Salt solutions
351701	A08AA56	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Centrally acting antiobesity products
1381001	M09AX04	MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	Other drugs for disorders of the musculo-skeletal system
219334	S01GA05	SENSORY ORGANS	OPHTHALMOLOGICALS	DECONGESTANTS AND ANTIALLERGICS	Sympathomimetics used as decongestants
405365	C08CA02	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	Dihydropyridine derivatives
390556	N01AX14	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Other general anesthetics
2039177	A12AA08	ALIMENTARY TRACT AND METABOLISM	MINERAL SUPPLEMENTS	CALCIUM	Calcium
674327	D07AC01	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, potent (group III)
149095	J05AB03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
699376	M04AX02	MUSCULO-SKELETAL SYSTEM	ANTIGOUT PREPARATIONS	ANTIGOUT PREPARATIONS	Other antigout preparations
21716	A03AD01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Papaverine and derivatives
1246443	A06AG10	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Enemas
503630	D11AX02	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
61717	M01AX21	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Other antiinflammatory and antirheumatic agents, non-steroids
674565	V08AB07	VARIOUS	CONTRAST MEDIA	X-RAY CONTRAST MEDIA, IODINATED	Watersoluble, nephrotropic, low osmolar X-ray contrast media
236376	H01CC01	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	HYPOTHALAMIC HORMONES	Anti-gonadotropin-releasing hormones
