molregno	level5	level1_description	level2_description	level3_description	level4_description
892	N07AB01	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	PARASYMPATHOMIMETICS	Choline esters
921	N03AB02	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Hydantoin derivatives
921	N03AB52	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Hydantoin derivatives
923	L04AA10	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
923	S01XA23	SENSORY ORGANS	OPHTHALMOLOGICALS	OTHER OPHTHALMOLOGICALS	Other ophthalmologicals
996	N06AA04	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
1063	D05AD02	DERMATOLOGICALS	ANTIPSORIATICS	ANTIPSORIATICS FOR TOPICAL USE	Psoralens for topical use
1063	D05BA02	DERMATOLOGICALS	ANTIPSORIATICS	ANTIPSORIATICS FOR SYSTEMIC USE	Psoralens for systemic use
1085	S01EC02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Carbonic anhydrase inhibitors
1114	L01DB03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES	Anthracyclines and related substances
1124	S01EC05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Carbonic anhydrase inhibitors
1125	S01EC01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Carbonic anhydrase inhibitors
1148	D06BA03	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Sulfonamides
1159	J01EB06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
1159	D06BA05	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Sulfonamides
1216	J01EA01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Trimethoprim and derivatives
1219	C08DA01	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	Phenylalkylamine derivatives
1219	C08DA51	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	Phenylalkylamine derivatives
1223	A07EC01	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Aminosalicylic acid and similar agents
1278	C08DB01	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	Benzothiazepine derivatives
1278	C05AE03	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Muscle relaxants
1279	C07AB03	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
1280	N02BA01	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
1280	N02BA51	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
1280	N02BA71	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
1280	A01AD05	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Other agents for local oral treatment
1280	B01AC06	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
1325	N05AB06	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with piperazine structure
1333	N05AL01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Benzamides
1354	S01ED52	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Beta blocking agents 1)
1354	C07AB05	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
1354	S01ED02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Beta blocking agents 1)
1362	S01BC08	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Antiinflammatory agents, non-steroids
1362	D01AE12	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Other antifungals for topical use
1369	A07EC03	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Aminosalicylic acid and similar agents
1370	C07AA05	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, non-selective
1380	C07AB01	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
1470	L01AA05	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Nitrogen mustard analogues
1615	J01CE01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase sensitive penicillins
1615	S01AA14	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antibiotics
1616	J01MA13	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
1620	A02BA51	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	H2-receptor antagonists
1620	A02BA01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	H2-receptor antagonists
1712	J01MA16	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
1712	S01AE06	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
1785	C07AG01	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Alpha and beta blocking agents
1788	J01MA14	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
1788	S01AE07	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
1795	S01AE05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Fluoroquinolones
1795	J01MA12	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
1853	J01MA15	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
1967	C09AA11	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ACE INHIBITORS, PLAIN	ACE inhibitors, plain
1994	R03CB51	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Non-selective beta-adrenoreceptor agonists
1994	R03AB02	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Non-selective beta-adrenoreceptor agonists
1994	C01CA02	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	Adrenergic and dopaminergic agents
1994	R03CB01	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Non-selective beta-adrenoreceptor agonists
2045	C03AX01	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, THIAZIDES	Thiazides, combinations with other drugs
2045	C03AA03	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, THIAZIDES	Thiazides, plain
2046	C03CA01	CARDIOVASCULAR SYSTEM	DIURETICS	HIGH-CEILING DIURETICS	Sulfonamides, plain
2080	P01BD01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Diaminopyrimidines
2080	P01BD51	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Diaminopyrimidines
2084	A10XA01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	OTHER DRUGS USED IN DIABETES	Aldose reductase inhibitors
2095	D06BA02	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Sulfonamides
2095	J01EB07	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
2130	D06BA06	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Sulfonamides
2130	J01ED07	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Long-acting sulfonamides
2131	J01EC02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Intermediate-acting sulfonamides
2166	N05CA19	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2166	N01AF03	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Barbiturates, plain
2198	N05CA10	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2203	N02CA52	NERVOUS SYSTEM	ANALGESICS	ANTIMIGRAINE PREPARATIONS	Ergot alkaloids
2203	N02CA72	NERVOUS SYSTEM	ANALGESICS	ANTIMIGRAINE PREPARATIONS	Ergot alkaloids
2203	N02CA02	NERVOUS SYSTEM	ANALGESICS	ANTIMIGRAINE PREPARATIONS	Ergot alkaloids
2208	L01XX14	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
2208	D10AD01	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Retinoids for topical use in acne
2208	D10AD51	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Retinoids for topical use in acne
2216	N05CA15	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2216	N01AF01	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Barbiturates, plain
2217	N03AA02	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Barbiturates and derivatives
2223	N06AB03	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Selective serotonin reuptake inhibitors
2247	J01EC01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Intermediate-acting sulfonamides
2256	N05CA04	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2261	N05AH02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diazepines, oxazepines, thiazepines and oxepines
2262	N06AA10	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
2265	J01EB03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
2326	N05CA06	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2327	N05CA01	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2366	N05CA02	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
2408	N03AA30	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Barbiturates and derivatives
2431	N05BA02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
2465	N03AE01	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Benzodiazepine derivatives
2484	S01AB02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Sulfonamides
2484	J01EB05	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
2516	J01ED05	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Long-acting sulfonamides
2525	D10AF06	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Antiinfectives for treatment of acne
2525	S01AB04	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Sulfonamides
2580	L01XX01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
2654	C03CC01	CARDIOVASCULAR SYSTEM	DIURETICS	HIGH-CEILING DIURETICS	Aryloxyacetic acid derivatives
2819	C03CC02	CARDIOVASCULAR SYSTEM	DIURETICS	HIGH-CEILING DIURETICS	Aryloxyacetic acid derivatives
2994	C10AB04	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	Fibrates
3012	N05CH01	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Melatonin receptor agonists
3183	A04AA01	ALIMENTARY TRACT AND METABOLISM	ANTIEMETICS AND ANTINAUSEANTS	ANTIEMETICS AND ANTINAUSEANTS	Serotonin (5HT3) antagonists
3599	N05BE01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Azaspirodecanedione derivatives
3683	C02KD01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	OTHER ANTIHYPERTENSIVES	Serotonin antagonists
3730	C02AB01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Methyldopa
3799	N05AE02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Indole derivatives
3854	N04BC07	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Dopamine agonists
3854	G04BE07	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Drugs used in erectile dysfunction
3859	N05AD01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Butyrophenone derivatives
4011	V04CH30	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for renal function and ureteral injuries
4193	D05BB01	DERMATOLOGICALS	ANTIPSORIATICS	ANTIPSORIATICS FOR SYSTEMIC USE	Retinoids for treatment of psoriasis
4345	J05AG01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Non-nucleoside reverse transcriptase inhibitors
4496	A04AD10	ALIMENTARY TRACT AND METABOLISM	ANTIEMETICS AND ANTINAUSEANTS	ANTIEMETICS AND ANTINAUSEANTS	Other antiemetics
4504	L01DB07	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES	Anthracyclines and related substances
4584	C01CA04	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	Adrenergic and dopaminergic agents
4730	L01XX05	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
4775	D06BB04	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Antivirals
4941	J04AC51	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Hydrazides
4941	J04AC01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Hydrazides
5028	L04AX02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Other immunosuppressants
5080	S01BC05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Antiinflammatory agents, non-steroids
5080	M01AB15	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
5528	C07AA07	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, non-selective
5582	A10BB01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Sulfonylureas
5638	C01BD04	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	ANTIARRHYTHMICS, CLASS I AND III	Antiarrhythmics, class III
5772	L01AX04	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Other alkylating agents
5797	C01EB10	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	OTHER CARDIAC PREPARATIONS	Other cardiac preparations
5970	N05AC02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with piperidine structure
5975	A02BC03	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	Proton pump inhibitors
5975	A02BC53	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	Proton pump inhibitors
5985	L01XX19	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
6005	N02AA01	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Natural opium alkaloids
6005	A07DA52	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	ANTIPROPULSIVES	Antipropulsives
6005	N02AA51	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Natural opium alkaloids
6167	R05DA04	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	Opium alkaloids and derivatives
6167	N02AA59	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Natural opium alkaloids
6167	N02AA79	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Natural opium alkaloids
6216	N05AA01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with aliphatic side-chain
6243	N06AA01	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
6317	L02BG01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Aromatase inhibitors
6579	P01BA01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Aminoquinolines
