Original drug name	chembl_id	molregno	Original synonyms	Fu	PMID	inchi_key	SMILES
AMINOHEXANOIC ACID, 6-	CHEMBL1046	127755		0.92	PMID30115648	SLXKOJJOQWFEFD-UHFFFAOYSA-N	NCCCCCC(=O)O
AMINOLEVULINIC ACID	CHEMBL601	20917		0.88	PMID30115648	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	NCC(CCC(O)=O)=O
AMINOSALICYLIC ACID, 5-	CHEMBL704	33202		0.39	PMID30115648	KBOPZPXVLCULAV-UHFFFAOYSA-N	Nc1ccc(O)c(c1)C(=O)O
AMIODARONE	CHEMBL633	27185		0.0002	PMID30115648	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
AMITRIPTYLINE	CHEMBL629	27072		0.07	PMID30115648	KRMDCWKBEZIMAB-UHFFFAOYSA-N	CN(C)CCC=C1c2ccccc2CCc3ccccc13
AMLODIPINE	CHEMBL1491	418414		0.005	PMID30115648	HTIQEAQVCYTUBX-UHFFFAOYSA-N	CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C
AMOXICILLIN	CHEMBL1082	143284		0.85	PMID30115648	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
AMPHETAMINE	CHEMBL612	23199	-d	0.8	PMID30115648	KWTSXDURSIMDCE-QMMMGPOBSA-N	c1(ccccc1)C[C@H](C)N
AMPICILLIN	CHEMBL174	305519		0.85	PMID30115648	AVKUERGKIZMTKX-NJBDSQKTSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
AMRINONE	CHEMBL12856	11066		0.89	PMID30115648	RNLQIBCLLYYYFJ-UHFFFAOYSA-N	NC1=CC(=CNC1=O)c2ccncc2
AMSACRINE	CHEMBL43	2580		0.028999999999999998	PMID30115648	XCPGHVQEEXUHNC-UHFFFAOYSA-N	COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24
ANTIPYRINE	CHEMBL277474	26820		0.93	PMID30115648	VEQOALNAAJBPNY-UHFFFAOYSA-N	CN1N(C(=O)C=C1C)c2ccccc2
APIXABAN	CHEMBL231779	397524		0.13	PMID30115648	QNZCBYKSOIHPEH-UHFFFAOYSA-N	N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O
APOMORPHINE	CHEMBL53	3854		0.05	PMID30115648	VMWNQDUVQKEIOC-CYBMUJFWSA-N	c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C
APREPITANT	CHEMBL1471	399361		0.05	PMID30115648	ATALOFNDEOCMKK-OITMNORJSA-N	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F
ARGATROBAN	CHEMBL1166	188815		0.46	PMID30115648	KXNPVXPOPUZYGB-IOVMHBDKSA-N	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23
ARIPIPRAZOLE	CHEMBL1112	155006		0.01	PMID30115648	CEUORZQYGODEFX-UHFFFAOYSA-N	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
ARTESUNATE	CHEMBL361497	316347		0.25	PMID30115648	FIHJKUPKCHIPAT-AHIGJZGOSA-N	C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
ASCORBIC ACID	CHEMBL196	443348		0.26	PMID30115648	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O
ATENOLOL	CHEMBL24	1279		0.94	PMID30115648	METKIMKYRPQLGS-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(CC(=O)N)cc1
ATOMOXETINE	CHEMBL641	27342		0.02	PMID30115648	VHGCDTVCOLNTBX-QGZVFWFLSA-N	CNCC[C@@H](Oc1ccccc1C)c2ccccc2
ATOVAQUONE	CHEMBL1450	378315		0.001	PMID30115648	KUCQYCKVKVOKAY-CTYIDZIISA-N	OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O
ATRACURIUM	CHEMBL1360	306485		0.52	PMID30115648	YXSLJKQTIDHPOT-UHFFFAOYSA-N	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC
ATROPINE	CHEMBL517712	445395		0.61	PMID30115648	RKUNBYITZUJHSG-SPUOUPEWSA-N	CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
AVIBACTAM	CHEMBL1689063	1077322		0.93	PMID30115648	NDCUAPJVLWFHHB-UHNVWZDZSA-N	N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O
AXITINIB	CHEMBL1289926	716337		0.004	PMID30115648	RITAVMQDGBJQJZ-FMIVXFBMSA-N	CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4
AZAPROPAZONE	CHEMBL1565476	989360		0.004	PMID30115648	MPHPHYZQRGLTBO-UHFFFAOYSA-N	CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C
AZELASTINE	CHEMBL639	27309		0.17	PMID30115648	MBUVEWMHONZEQD-UHFFFAOYSA-N	CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O
AZITHROMYCIN	CHEMBL529	12428		0.88	PMID30115648	MQTOSJVFKKJCRP-BICOPXKESA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
AZLOCILLIN	CHEMBL1537	430506		0.65	PMID30115648	JTWOMNBEOCYFNV-NFFDBFGFSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O
AZTREONAM	CHEMBL158	61680		0.4	PMID30115648	WZPBZJONDBGPKJ-VEHQQRBSSA-N	C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O
BAZEDOXIFENE	CHEMBL46740	65648		0.02	PMID30115648	UCJGJABZCDBEDK-UHFFFAOYSA-N	c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1
BECLOMETHASONE DIPROPIONATE	CHEMBL1200500	674451		0.13	PMID30115648	KUVIULQEHSCUHY-XYWKZLDCSA-N	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
BELINOSTAT	CHEMBL408513	435188		0.06	PMID30115648	NCNRHFGMJRPRSK-MDZDMXLPSA-N	c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1
BENDAMUSTINE	CHEMBL487253	453911		0.05	PMID30115648	YTKUWDBFDASYHO-UHFFFAOYSA-N	c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2
BENZYDAMINE	CHEMBL12610	9913		0.8	PMID30115648	CNBGNNVCVSKAQZ-UHFFFAOYSA-N	c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2
BETAMETHASONE	CHEMBL632	27152		0.36	PMID30115648	UREBDLICKHMUKA-DVTGEIKXSA-N	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BETAXOLOL	CHEMBL423	1354		0.4	PMID30115648	NWIUTZDMDHAVTP-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
BILASTINE	CHEMBL1742423	1121294		0.13	PMID30115648	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O
BIPERIDEN	CHEMBL1101	151063		0.09699999999999999	PMID30115648	YSXKPIUOCJLQIE-UHFFFAOYSA-N	OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
BISOPROLOL	CHEMBL645	27417		0.66	PMID30115648	VHYCDWMUTMEGQY-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
BIVALIRUDIN	CHEMBL2103749	1376019		1.0	PMID30115648	OIRCOABEOLEUMC-GEJPAHFPSA-N	C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N
BORTEZOMIB	CHEMBL325041	187372		0.17	PMID30115648	GXJABQQUPOEUTA-RDJZCZTQSA-N	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O
BOSENTAN	CHEMBL957	93617		0.0369999999999999	PMID30115648	GJPICJJJRGTNOD-UHFFFAOYSA-N	COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4
BREXPIPRAZOLE	CHEMBL2105760	1378030		0.002	PMID30115648	ZKIAIYBUSXZPLP-UHFFFAOYSA-N	c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4
BRIVARACETAM	CHEMBL607400	609761		0.825	PMID30115648	MSYKRHVOOPPJKU-BDAKNGLRSA-N	CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1
BROMAZEPAM	CHEMBL277062	16960		0.48	PMID30115648	VMIYHDSEFNYJSL-UHFFFAOYSA-N	Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1
BROMFENAC	CHEMBL1077	140107		0.0011	PMID30115648	ZBPLOVFIXSTCRZ-UHFFFAOYSA-N	Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2
BUDESONIDE	CHEMBL1370	313314		0.13	PMID30115648	VOVIALXJUBGFJZ-KWVAZRHASA-N	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
BUMETANIDE	CHEMBL1072	139281		0.031	PMID30115648	MAEIEVLCKWDQJH-UHFFFAOYSA-N	CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O
BUPIVACAINE	CHEMBL1098	150882		0.055999999999999994	PMID30115648	LEBVLXFERQHONN-UHFFFAOYSA-N	CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C
BUSULPHAN	CHEMBL820	56644		1.0	PMID30115648	COVZYZSDYWQREU-UHFFFAOYSA-N	CS(=O)(=O)OCCCCOS(=O)(=O)C
BUTORPHANOL	CHEMBL33986	45838		0.17	PMID30115648	IFKLAQQSCNILHL-QHAWAJNXSA-N	Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1
BUTYLBIGUANIDE	CHEMBL39736	56090		0.9	PMID30115648	XSEUMFJMFFMCIU-UHFFFAOYSA-N	CCCCNC(=N)NC(=N)N
CABAZITAXEL	CHEMBL1201748	675699		0.24	PMID30115648	BMQGVNUXMIRLCK-OAGWZNDDSA-N	C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C
CAFFEINE	CHEMBL113	16485		0.64	PMID30115648	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C(=O)N(C)c2ncn(C)c2C1=O
CANAGLIFLOZIN	CHEMBL2048484	1351917		0.01	PMID30115648	XTNGUQKDFGDXSJ-ZXGKGEBGSA-N	Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
CANGRELOR	CHEMBL334966	217548		0.02	PMID30115648	PAEBIVWUMLRPSK-IDTAVKCVSA-N	CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12
CAPTOPRIL	CHEMBL1560	444750		0.73	PMID30115648	FAKRSMQSSFJEIM-RQJHMYQMSA-N	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CARBENICILLIN	CHEMBL1214	218758		0.52	PMID30115648	FPPNZSSZRUTDAP-UWFZAAFLSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CARFILZOMIB	CHEMBL451887	520664		0.02	PMID30115648	BLMPQMFVWMYDKT-NZTKNTHTSA-N	C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C
CARMUSTINE	CHEMBL513	10840	BCNU	0.23	PMID30115648	DLGOEMSEDOSKAD-UHFFFAOYSA-N	ClCCNC(=O)N(CCCl)N=O
CARNITINE_L	CHEMBL1149	181939		1.0	PMID30115648	PHIQHXFUZVPYII-ZCFIWIBFSA-N	C([N+](C)(C)C)[C@@H](CC(=O)[O-])O
CARPROFEN	CHEMBL1316	264453		0.001	PMID30115648	PUXBGTOOZJQSKH-UHFFFAOYSA-N	CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O
CARVEDILOL	CHEMBL723	36662		0.02	PMID30115648	OGHNVEJMJSYVRP-UHFFFAOYSA-N	COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23
CEFADROXIL	CHEMBL1644	485902		0.39	PMID30115648	BOEGTKLJZSQCCD-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O
CEFAMANDOLE	CHEMBL1146	180228		0.25	PMID30115648	OLVCFLKTBJRLHI-AXAPSJFSSA-N	Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O
CEFAZOLIN	CHEMBL1435	371631		0.18	PMID30115648	MLYYVTUWGNIJIB-BXKDBHETSA-N	Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1
CEFEPIME	CHEMBL186	372385		0.78	PMID30115648	HVFLCNVBZFFHBT-ZKDACBOMSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4
CEFIXIME	CHEMBL1541	430642		0.31	PMID30115648	OKBVVJOGVLARMR-QSWIMTSFSA-N	Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C
CEFMETAZOLE	CHEMBL1201195	675146		0.15	PMID30115648	SNBUBQHDYVFSQF-HIFRSBDPSA-N	CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C
CEFODIZIME	CHEMBL2303613	1503084		0.18	PMID30115648	XDZKBRJLTGRPSS-BGZQYGJUSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4
CEFOPERAZONE	CHEMBL507674	508755		0.07	PMID30115648	GCFBRXLSHGKWDP-XCGNWRKASA-N	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O
CEFORANIDE	CHEMBL1201046	674997		0.19	PMID30115648	SLAYUXIURFNXPG-CRAIPNDOSA-N	NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O
CEFOTAXIME	CHEMBL1730	558106		0.6	PMID30115648	GPRBEKHLDVQUJE-QSWIMTSFSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3
CEFOTIAM	CHEMBL1296	255510		0.5	PMID30115648	QYQDKDWGWDOFFU-IUODEOHRSA-N	CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O
CEFOXITIN	CHEMBL996	109807		0.73	PMID30115648	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N	CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)O)COC(=O)N
CEFPIRAMIDE	CHEMBL1201204	675155		0.03	PMID30115648	PWAUCHMQEXVFJR-PMAPCBKXSA-N	O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)[C@@H](c3ccc(O)cc3)NC(=O)C\4=C\N\C(=C/C/4=O)C)CSc5nnnn5C)C(=O)O
CEFPIROME	CHEMBL65794	104846		0.9	PMID30115648	DKOQGJHPHLTOJR-WHRDSVKCSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3cccc4CCCc34)\c5csc(N)n5
CEFTAROLINE FOSAMIL	CHEMBL501122	497230		0.8	PMID30115648	ZCCUWMICIWSJIX-NQJJCJBVSA-N	C1(=O)[C@H]([C@@H]2N1C(=C(CS2)Sc1scc(n1)c1cc[n+](cc1)C)C(=O)[O-])NC(=O)/C(=N\OCC)c1nc(sn1)NP(=O)(O)O
CEFTAZIDIME	CHEMBL44354	61682		0.79	PMID30115648	ORFOPKXBNMVMKC-DWVKKRMSSA-N	CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O
CEFTIZOXIME	CHEMBL528	12105		0.72	PMID30115648	NNULBSISHYWZJU-LLKWHZGFSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3
CEFTRIAXONE	CHEMBL161	83724		0.1	PMID30115648	VAAUVRVFOQPIGI-SPQHTLEESA-N	Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O
CEPHALEXIN	CHEMBL1727	555972		0.85	PMID30115648	ZAIPMKNFIOOWCQ-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O
CEPHALOTHIN	CHEMBL617	24991		0.22	PMID30115648	XIURVHNZVLADCM-IUODEOHRSA-N	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
CEPHAPIRIN	CHEMBL1599	454446		0.55	PMID30115648	UQLLWWBDSUHNEB-CZUORRHYSA-N	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)O
CEPHRADINE	CHEMBL1604	454576		0.95	PMID30115648	RDLPVSKMFDYCOR-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O
CERIVASTATIN	CHEMBL1477	403465		0.01	PMID30115648	SEERZIQQUAZTOL-ANMDKAQQSA-N	COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C
CETRORELIX	CHEMBL1200490	674441		0.14	PMID30115648	SBNPWPIBESPSIF-MHWMIDJBSA-N	CC(C)C[C@H](NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N
CHLORAMBUCIL	CHEMBL515	11002		0.01	PMID30115648	JCKYGMPEJWAADB-UHFFFAOYSA-N	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
CHLORAMPHENICOL	CHEMBL130	27340		0.34	PMID30115648	WIIZWVCIJKGZOK-RKDXNWHRSA-N	OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)N(=O)=O
CHLORDIAZEPOXIDE	CHEMBL451	2431		0.055999999999999994	PMID30115648	ANTSCNMPPGJYLG-UHFFFAOYSA-N	CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3
CHLORMETHIAZOLE	CHEMBL315795	139608		0.36	PMID30115648	PCLITLDOTJTVDJ-UHFFFAOYSA-N	Cc1ncsc1CCCl
CHLOROQUINE	CHEMBL76	6579		0.43	PMID30115648	WHTVZRBIWZFKQO-UHFFFAOYSA-N	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CHLORPHENIRAMINE	CHEMBL505	10358		0.7	PMID30115648	SOYKEARSMXGVTM-UHFFFAOYSA-N	CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
