Original source Substance	pref_name	chembl_id	molregno	mw_freebase	Blood-plasma concentration, therapeutic (normal) upper limit	Unit
AMINOBENZOIC ACID	AMINOBENZOIC ACID	CHEMBL542	13372	137.14	600.0	mg/L
AMINOGLUTETHIMIDE	AMINOGLUTETHIMIDE	CHEMBL488	6317	232.28	25.0	mg/L
AMINOPHENAZONE	AMINOPYRINE	CHEMBL288470	60246	231.3	20.0	mg/L
AMIODARONE	AMIODARONE	CHEMBL633	27185	645.32	2.5	mg/L
AMISULPRIDE	AMISULPRIDE	CHEMBL243712	389011	369.49	0.4	mg/L
AMITRIPTYLINE	AMITRIPTYLINE	CHEMBL629	27072	277.41	0.3	mg/L
AMLODIPINE	AMLODIPINE	CHEMBL1491	418414	408.88	0.015	mg/L
AMMONIA	AMMONIA SOLUTION, STRONG	CHEMBL1160819	642358	17.03	1.7	mg/L
AMOBARBITAL	AMOBARBITAL	CHEMBL267894	2366	226.28	5.0	mg/L
AMODIAQUINE	AMODIAQUINE	CHEMBL682	29097	355.87	0.05	mg/L
AMOXAPINE	AMOXAPINE	CHEMBL1113	155045	313.79	0.6	mg/L
AMOXICILLIN	AMOXICILLIN	CHEMBL1082	143284	365.41	15.0	mg/L
AMPHETAMINE	AMPHETAMINE	CHEMBL405	543	135.21	0.1	mg/L
AMPHOTERICIN B	AMPHOTERICIN B	CHEMBL267345	8873	924.09	3.0	mg/L
AMPICILLIN	AMPICILLIN	CHEMBL174	305519	349.41	20.0	mg/L
AMSACRINE	AMSACRINE	CHEMBL43	2580	393.47	5.5	mg/L
ANILERIDINE	ANILERIDINE	CHEMBL1201347	675298	352.48	0.5	mg/L
PHENAZONE	ANTIPYRINE	CHEMBL277474	26820	188.23	25.0	mg/L
AZAPROPAZONE	APAZONE	CHEMBL1565476	989360	300.36	90.0	mg/L
ARIPIPRAZOLE	ARIPIPRAZOLE	CHEMBL1112	155006	448.39	0.5	mg/L
ARTICAINE	ARTICAINE	CHEMBL1093	150423	284.38	2.0	mg/L
ASCORBIC ACID	ASCORBIC ACID	CHEMBL196	443348	176.12	15.0	mg/L
ASENAPINE	ASENAPINE	CHEMBL3187365	1676656	285.77	0.005	mg/L
ACETYLSALICYLIC ACID	ASPIRIN	CHEMBL25	1280	180.16	200.0	mg/L
ASTEMIZOLE	ASTEMIZOLE	CHEMBL296419	65605	458.58	0.05	mg/L
ATAZANAVIR	ATAZANAVIR	CHEMBL1163	188196	704.87	0.15	mg/L
ATENOLOL	ATENOLOL	CHEMBL24	1279	266.34	2.0	mg/L
ATOMOXETINE	ATOMOXETINE	CHEMBL641	27342	255.36	1.0	mg/L
ATOVAQUONE	ATOVAQUONE	CHEMBL1450	378315	366.84	6.9	mg/L
ATRACURIUM	ATRACURIUM	CHEMBL1360	306485	929.16	5.0	mg/L
ATROPINE	ATROPINE	CHEMBL517712	445395	289.37	0.025	mg/L
AZATHIOPRINE	AZATHIOPRINE	CHEMBL1542	431141	277.27	2.0	mg/L
AZELASTINE	AZELASTINE	CHEMBL639	27309	381.91	0.01	mg/L
AZITHROMYCIN	AZITHROMYCIN	CHEMBL529	12428	749.0	1.0	mg/L
AZTREONAM	AZTREONAM	CHEMBL158	61680	435.44	250.0	mg/L
BACLOFEN	BACLOFEN	CHEMBL701	32869	213.66	0.6	mg/L
BARBITAL	BARBITAL	CHEMBL444	2256	184.19	20.0	mg/L
BENDROFLUAZIDE	BENDROFLUMETHIAZIDE	CHEMBL1684	515239	421.42	0.1	mg/L
BENOXAPROFEN	BENOXAPROFEN	CHEMBL340978	219327	301.73	50.0	mg/L
BENPERIDOL	BENPERIDOL	CHEMBL297302	65455	381.45	0.01	mg/L
BENZBROMARONE	BENZBROMARONE	CHEMBL388590	374182	424.09	10.0	mg/L
BENZPHETAMINE	BENZPHETAMINE	CHEMBL3545985	1927831	239.36	0.5	mg/L
BENZTROPINE	BENZTROPINE	CHEMBL1201203	675154	307.44	0.18	mg/L
BENZYLPENICILLIN	BENZYLPENICILLIN	CHEMBL29	1615	334.4	12.0	mg/L
BEPRIDIL	BEPRIDIL	CHEMBL1008	112651	366.55	2.5	mg/L
BETACAROTENE	BETA CAROTENE	CHEMBL1293	255373	536.89	6.0	mg/L
BETAXOLOL	BETAXOLOL	CHEMBL423	1354	307.43	0.05	mg/L
BETHANIDINE	BETHANIDINE	CHEMBL1201260	675211	177.25	0.5	mg/L
BEZAFIBRATE	BEZAFIBRATE	CHEMBL264374	57488	361.83	15.0	mg/L
BICALUTAMIDE	BICALUTAMIDE	CHEMBL409	717	430.38	25.0	mg/L
BIPERIDEN	BIPERIDEN	CHEMBL1101	151063	311.47	0.1	mg/L
BISOPROLOL	BISOPROLOL	CHEMBL645	27417	325.45	0.1	mg/L
BRETYLIUM	BRETYLIUM	CHEMBL1199080	673030	243.17	2.4	mg/L
BROMAZEPAM	BROMAZEPAM	CHEMBL277062	16960	316.16	0.2	mg/L
BROMOCRIPTINE	BROMOCRIPTINE	CHEMBL493	7065	654.61	0.004	mg/L
BROMPERIDOL	BROMPERIDOL	CHEMBL28218	34949	420.32	0.02	mg/L
BROMPHENIRAMINE	BROMPHENIRAMINE	CHEMBL811	54051	319.25	0.015	mg/L
BUPIVACAINE	BUPIVACAINE	CHEMBL1098	150882	288.44	2.0	mg/L
BUPRENORPHINE	BUPRENORPHINE	CHEMBL511142	446784	467.65	0.1	mg/L
BUPROPION	BUPROPION	CHEMBL894	77128	239.75	0.1	mg/L
BUSPIRONE	BUSPIRONE	CHEMBL49	3599	385.51	0.004	mg/L
BUSULFAN	BUSULFAN	CHEMBL820	56644	246.31	0.9	mg/L
SECBUTABARBITAL	BUTABARBITAL	CHEMBL449	2393	212.25	15.0	mg/L
BUTALBITAL	BUTALBITAL	CHEMBL454	2524	224.26	5.0	mg/L
BUTORPHANOL	BUTORPHANOL	CHEMBL33986	45838	327.47	0.002	mg/L
BUTRIPTYLINE	BUTRIPTYLINE	CHEMBL2110816	1383256	293.45	0.15	mg/L
CABERGOLINE	CABERGOLINE	CHEMBL1201087	675038	451.62	144.0	mg/L
CAFFEINE	CAFFEINE	CHEMBL113	16485	194.19	10.0	mg/L
CALCIFEDIOL	CALCIFEDIOL	CHEMBL1040	125261	400.65	0.05	mg/L
CANDESARTAN	CANDESARTAN CILEXETIL	CHEMBL1014	116349	610.67	0.18	mg/L
CAPTOPRIL	CAPTOPRIL	CHEMBL1560	444750	217.29	0.5	mg/L
CARBACHOL	CARBACHOL	CHEMBL965	94790	147.2	0.01	mg/L
CARBAMAZEPINE	CARBAMAZEPINE	CHEMBL108	15086	236.27	12.0	mg/L
CARBENOXOLONE	CARBENOXOLONE	CHEMBL499915	454298	570.77	30.0	mg/L
PENTOXYVERINE	CARBETAPENTANE	CHEMBL73234	117805	333.47	0.18	mg/L
CARBIDOPA	CARBIDOPA	CHEMBL1201236	675187	226.23	0.2	mg/L
CARBIMAZOLE	CARBIMAZOLE	CHEMBL508102	517099	186.24	3.4	mg/L
CARBINOXAMINE	CARBINOXAMINE	CHEMBL864	66273	290.79	0.04	mg/L
CARBOPLATIN	CARBOPLATIN	CHEMBL1351	300022	371.25	25.0	mg/L
CARISOPRODOL	CARISOPRODOL	CHEMBL1233	230249	260.33	30.0	mg/L
CARTEOLOL	CARTEOLOL	CHEMBL839	62182	292.38	0.1	mg/L
CARVEDILOL	CARVEDILOL	CHEMBL723	36662	406.48	0.3	mg/L
CEFACLOR	CEFACLOR	CHEMBL680	29005	367.81	900.0	mg/L
CEFADROXIL	CEFADROXIL	CHEMBL1644	485902	363.39	30.0	mg/L
CEFAMANDOLE	CEFAMANDOLE	CHEMBL1146	180228	462.51	150.0	mg/L
CEFAZOLIN	CEFAZOLIN	CHEMBL1435	371631	454.52	150.0	mg/L
CEFDINIR	CEFDINIR	CHEMBL927	84624	395.42	4.0	mg/L
CEFEPIME	CEFEPIME	CHEMBL186	372385	480.57	160.0	mg/L
CEFIXIME	CEFIXIME	CHEMBL1541	430642	453.46	7.0	mg/L
CEFMENOXIME	CEFMENOXIME	CHEMBL1201224	675175	511.57	200.0	mg/L
CEFODIZIME	CEFODIZIME	CHEMBL2303613	1503084	584.68	400.0	mg/L
CEFOPERAZONE	CEFOPERAZONE	CHEMBL507674	508755	645.68	250.0	mg/L
CEFOTAXIME	CEFOTAXIME	CHEMBL1730	558106	455.47	225.0	mg/L
CEFOTETAN	CEFOTETAN	CHEMBL474579	458729	575.63	90.0	mg/L
CEFOTIAM	CEFOTIAM	CHEMBL1296	255510	525.64	150.0	mg/L
CEFOXITIN	CEFOXITIN	CHEMBL996	109807	427.46	150.0	mg/L
CEFPODOXIME	CEFPODOXIME PROXETIL	CHEMBL1201016	674967	557.61	7.0	mg/L
CEFSULODIN	CEFSULODIN	CHEMBL3351077	1799684	532.56	100.0	mg/L
CEFTAZIDIME	CEFTAZIDIME	CHEMBL44354	61682	546.59	200.0	mg/L
CEFTIBUTEN	CEFTIBUTEN	CHEMBL1605	454578	410.43	20.0	mg/L
CEFTIZOXIME	CEFTIZOXIME	CHEMBL528	12105	383.41	160.0	mg/L
CEFTRIAXONE	CEFTRIAXONE	CHEMBL161	83724	554.59	75.0	mg/L
CEFUROXIME	CEFUROXIME	CHEMBL1436	371655	424.39	180.0	mg/L
CELIPROLOL	CELIPROLOL	CHEMBL27810	36502	379.5	1.0	mg/L
CEFALEXIN	CEPHALEXIN	CHEMBL1727	555972	347.4	65.0	mg/L
CEPHALOTHIN	CEPHALOTHIN	CHEMBL617	24991	396.45	30.0	mg/L
CERIVASTATIN	CERIVASTATIN	CHEMBL1477	403465	459.56	0.04	mg/L
CETIRIZINE	CETIRIZINE	CHEMBL1000	111185	388.9	0.3	mg/L
CHLORAMBUCIL	CHLORAMBUCIL	CHEMBL515	11002	304.22	1.0	mg/L
CHLORAMPHENICOL	CHLORAMPHENICOL	CHEMBL130	27340	323.13	25.0	mg/L
CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	CHEMBL451	2431	299.76	3.0	mg/L
CHLORMEZANONE	CHLORMEZANONE	CHEMBL1200714	674665	273.74	14.0	mg/L
CHLOROFORM	CHLOROFORM	CHEMBL44618	67839	119.38	50.0	mg/L
PROGUANIL	CHLOROGUANIDE	CHEMBL1377	320522	253.74	0.15	mg/L
CHLOROQUINE	CHLOROQUINE	CHEMBL76	6579	319.88	0.5	mg/L
CHLOROTHIAZIDE	CHLOROTHIAZIDE	CHEMBL842	62615	295.73	6.0	mg/L
CHLORPROMAZINE	CHLORPROMAZINE	CHEMBL71	6216	318.87	0.5	mg/L
CHLORPROPAMIDE	CHLORPROPAMIDE	CHEMBL498	8516	276.75	150.0	mg/L
CHLORPROTHIXENE	CHLORPROTHIXENE	CHEMBL908	80209	315.87	0.3	mg/L
CHLORTETRACYCLINE	CHLORTETRACYCLINE	CHEMBL404520	438486	478.89	10.0	mg/L
CHLORTALIDONE	CHLORTHALIDONE	CHEMBL1055	134333	338.77	1.4	mg/L
VITAMIN D	CHOLECALCIFEROL	CHEMBL1042	125294	384.65	0.09	mg/L
CIDOFOVIR	CIDOFOVIR	CHEMBL152	48701	279.19	43.0	mg/L
CILAZAPRIL	CILAZAPRIL	CHEMBL515606	453655	417.51	0.09	mg/L
CIMETIDINE	CIMETIDINE	CHEMBL30	1620	252.35	4.0	mg/L
CINNARIZINE	CINNARIZINE	CHEMBL43064	66311	368.52	0.33	mg/L
CINOXACIN	CINOXACIN	CHEMBL1208	214701	262.22	15.0	mg/L
CIPROFLOXACIN	CIPROFLOXACIN	CHEMBL8	241	331.35	4.0	mg/L
CITALOPRAM	CITALOPRAM	CHEMBL549	14367	324.4	0.11	mg/L
CLADRIBINE	CLADRIBINE	CHEMBL1619	467361	285.69	0.06	mg/L
CLARITHROMYCIN	CLARITHROMYCIN	CHEMBL1741	570147	747.96	2.0	mg/L
CLEMASTINE	CLEMASTINE	CHEMBL1626	469763	343.9	0.002	mg/L
CLENBUTEROL	CLENBUTEROL	CHEMBL49080	74690	277.2	0.0006	mg/L
CLINDAMYCIN	CLINDAMYCIN	CHEMBL1753	581843	424.99	0.5	mg/L
CLOBAZAM	CLOBAZAM	CHEMBL70418	111390	300.75	0.3	mg/L
CLOBUTINOL	CLOBUTINOL	CHEMBL1474889	898773	255.79	0.2	mg/L
CLOFIBRATE	CLOFIBRATE	CHEMBL565	16415	242.7	250.0	mg/L
CLOMETHIAZOLE	CLOMETHIAZOLE	CHEMBL315795	139608	161.66	5.0	mg/L
CLOMIPRAMINE	CLOMIPRAMINE	CHEMBL415	996	314.86	0.4	mg/L
CLONAZEPAM	CLONAZEPAM	CHEMBL452	2465	315.72	0.08	mg/L
CLONIDINE	CLONIDINE	CHEMBL134	27609	230.1	0.004	mg/L
CLOPIDOGREL	CLOPIDOGREL	CHEMBL1771	598402	321.83	0.006	mg/L
CLOTIAZEPAM	CLOTIAZEPAM	CHEMBL1697737	1078501	318.83	0.7	mg/L
CLOXACILLIN	CLOXACILLIN	CHEMBL891	76766	435.89	85.0	mg/L
CLOZAPINE	CLOZAPINE	CHEMBL42	2261	326.83	0.35	mg/L
COCAINE	COCAINE	CHEMBL370805	333370	303.36	0.3	mg/L
CODEINE	CODEINE	CHEMBL485	6167	299.37	0.25	mg/L
COLCHICINE	COLCHICINE	CHEMBL107	14440	399.44	0.0025	mg/L
COLISTIN	COLISTIN	CHEMBL2221249	1451060	2296.97	5.0	mg/L
COPPER	COPPER	CHEMBL55643	87251	63.55	1.5	mg/L
CROMOLYN	CROMOLYN	CHEMBL428880	7725	468.37	0.01	mg/L
CYCLIZINE	CYCLIZINE	CHEMBL648	27546	266.39	0.25	mg/L
CYCLOBARBITAL	CYCLOBARBITAL	CHEMBL268164	2198	236.27	6.0	mg/L
CYCLOBENZAPRINE	CYCLOBENZAPRINE	CHEMBL669	28119	275.4	0.04	mg/L
CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	CHEMBL88	8417	261.09	25.0	mg/L
CYPROHEPTADINE	CYPROHEPTADINE	CHEMBL516	11005	287.41	0.05	mg/L
CYSTEAMINE	CYSTEAMINE	CHEMBL602	21036	77.15	20.0	umol/L
CYTARABINE	CYTARABINE	CHEMBL803	51182	243.22	0.5	mg/L
4-AMINOPYRIDINE	DALFAMPRIDINE	CHEMBL284348	31289	94.12	0.075	mg/L
DANAZOL	DANAZOL	CHEMBL1479	405364	337.46	0.2	mg/L
DANTROLENE	DANTROLENE	CHEMBL1201288	675239	314.26	3.0	mg/L
DARUNAVIR	DARUNAVIR	CHEMBL1323	267163	547.67	7.367999999999999	mg/L
DEFEROXAMINE	DEFEROXAMINE	CHEMBL556	15938	560.69	15.0	mg/L
DESIPRAMINE	DESIPRAMINE	CHEMBL72	6243	266.39	0.25	mg/L
DESLORATADINE	DESLORATADINE	CHEMBL1172	191342	310.83	0.006	mg/L
DESVENLAFAXINE	DESVENLAFAXINE	CHEMBL1118	161281	263.38	0.4	mg/L
DEXAMETHASONE	DEXAMETHASONE	CHEMBL384467	365281	392.47	0.265	mg/L
DEXFENFLURAMINE	DEXFENFLURAMINE	CHEMBL248702	421350	231.26	0.06	mg/L
DEXKETOPROFEN	DEXKETOPROFEN	CHEMBL75435	117758	254.29	3.7	mg/L
DEXMETHYLPHENIDATE	DEXMETHYLPHENIDATE	CHEMBL827	57397	233.31	0.023	mg/L
DEXTROMETHORPHAN	DEXTROMETHORPHAN	CHEMBL52440	77456	271.4	0.04	mg/L
DEXTROMORAMIDE	DEXTROMORAMIDE	CHEMBL3833389	2096440	392.54	0.15	mg/L
DIAZEPAM	DIAZEPAM	CHEMBL12	721	284.75	2.5	mg/L
DIAZOXIDE	DIAZOXIDE	CHEMBL181	364859	230.68	50.0	mg/L
DIBENZEPINE	DIBENZEPIN	CHEMBL1442422	866306	295.39	0.5	mg/L
DICLOFENAC	DICLOFENAC	CHEMBL139	29890	296.15	3.0	mg/L
DICOUMAROL	DICUMAROL	CHEMBL1466	394231	336.3	30.0	mg/L
DICYCLOMINE	DICYCLOMINE	CHEMBL1123	165774	309.49	0.1	mg/L
DIDANOSINE	DIDANOSINE	CHEMBL1460	390877	236.23	30.0	umol/L
DIETHYLCARBAMAZINE	DIETHYLCARBAMAZINE	CHEMBL684	29569	199.3	1.0	mg/L
DIETHYLPROPION	DIETHYLPROPION	CHEMBL1194666	668616	205.3	0.2	mg/L
DIFLUNISAL	DIFLUNISAL	CHEMBL898	77652	250.2	200.0	mg/L
DIGITOXIN	DIGITOXIN	CHEMBL254219	419508	764.95	0.025	mg/L
DIGOXIN	DIGOXIN	CHEMBL1751	581814	780.95	0.002	mg/L
DIHYDROCODEINE	DIHYDROCODEINE	CHEMBL1595	454306	301.39	0.25	mg/L
DIHYDROERGOTAMINE	DIHYDROERGOTAMINE	CHEMBL1732	558566	583.69	0.01	mg/L
DILTIAZEM	DILTIAZEM	CHEMBL23	1278	414.53	0.25	mg/L
DIMETHINDENE	DIMETHINDENE	CHEMBL22108	26443	292.43	0.05	mg/L
DIPHENHYDRAMINE	DIPHENHYDRAMINE	CHEMBL657	27629	255.36	0.1	mg/L
DIPHENOXYLATE	DIPHENOXYLATE	CHEMBL1201294	675245	452.6	0.01	mg/L
DIPIPANONE	DIPIPANONE	CHEMBL2111157	1383597	349.52	0.05	mg/L
DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	86042	504.64	1.5	mg/L
METAMIZOLE	DIPYRONE	CHEMBL461522	453508	311.36	10.0	mg/L
DISOPYRAMIDE	DISOPYRAMIDE	CHEMBL517	11143	339.48	7.0	mg/L
DISULFIRAM	DISULFIRAM	CHEMBL964	94571	296.55	0.4	mg/L
DOMPERIDONE	DOMPERIDONE	CHEMBL219916	364745	425.92	0.1	mg/L
DONEPEZIL	DONEPEZIL	CHEMBL502	9372	379.5	0.075	mg/L
DOTHIEPIN	DOTHIEPIN	CHEMBL1492500	916384	295.45	0.1	mg/L
DOXACURIUM	DOXACURIUM	CHEMBL1237123	699474	1035.24	0.3	mg/L
DOXAPRAM	DOXAPRAM	CHEMBL1754	581848	378.52	5.0	mg/L
DOXAZOSIN	DOXAZOSIN	CHEMBL707	33373	451.48	0.15	mg/L
DOXEPIN	DOXEPIN	CHEMBL1628227	1051118	279.38	0.1	mg/L
DOXORUBICIN	DOXORUBICIN	CHEMBL53463	78759	543.53	0.02	mg/L
DOXYCYCLINE	DOXYCYCLINE	CHEMBL1433	371546	444.44	10.0	mg/L
DOXYLAMINE	DOXYLAMINE	CHEMBL1004	111498	270.38	0.2	mg/L
DRONABINOL	DRONABINOL	CHEMBL465	4496	314.47	0.05	mg/L
DROPERIDOL	DROPERIDOL	CHEMBL1108	152751	379.44	0.05	mg/L
DROTRECOGIN ALFA	DROTRECOGIN ALFA (ACTIVATED)	CHEMBL2109065	1381331		0.07200000000000001	mg/L
DULOXETINE	DULOXETINE	CHEMBL1175	192908	297.42	0.12	mg/L
DYPHYLLINE	DYPHYLLINE	CHEMBL1752	581819	254.25	20.0	mg/L
EDROPHONIUM	EDROPHONIUM	CHEMBL1104	151408	166.24	0.2	mg/L
EFAVIRENZ	EFAVIRENZ	CHEMBL223228	374719	315.68	2.0	mg/L
ELETRIPTAN	ELETRIPTAN	CHEMBL1510	421034	382.53	0.23	mg/L
ENALAPRIL	ENALAPRIL	CHEMBL578	16847	376.45	0.1	mg/L
ENFUVIRTIDE	ENFUVIRTIDE	CHEMBL525076	508828	4491.94	3.4	mg/L
ENOXACIN	ENOXACIN	CHEMBL826	57175	320.32	4.0	mg/L
ENOXIMONE	ENOXIMONE	CHEMBL249856	421520	248.31	4.0	mg/L
ENTACAPONE	ENTACAPONE	CHEMBL953	92412	305.29	7.0	mg/L
EPHEDRINE	EPHEDRINE	CHEMBL211456	351701	165.24	0.2	mg/L
EPIRUBICIN	EPIRUBICIN	CHEMBL417	1114	543.53	0.05	mg/L
EPROSARTAN	EPROSARTAN	CHEMBL813	54211	424.52	1.85	mg/L
ERGOTAMINE	ERGOTAMINE	CHEMBL442	2203	581.67	0.00042	mg/L
LACOSAMIDE	ERLOSAMIDE	CHEMBL58323	88739	250.3	10.0	mg/L
ERYTHROMYCIN	ERYTHROMYCIN	CHEMBL532	12506	733.94	12.0	mg/L
ESCITALOPRAM	ESCITALOPRAM	CHEMBL1508	421007	324.4	0.08	mg/L
ESMOLOL	ESMOLOL	CHEMBL768	43354	295.38	2.0	mg/L
ESTAZOLAM	ESTAZOLAM	CHEMBL285674	49847	294.75	0.2	mg/L
ESZOPICLONE	ESZOPICLONE	CHEMBL1522	421334	388.82	0.087	mg/L
ETHACRYNIC ACID	ETHACRYNIC ACID	CHEMBL456	2654	303.14	0.1	mg/L
ETHAMBUTOL	ETHAMBUTOL	CHEMBL44884	67617	204.31	6.5	mg/L
ETAMSYLATE	ETHAMSYLATE	CHEMBL1514715	938599	190.18	20.0	mg/L
ETHCHLORVYNOL	ETHCHLORVYNOL	CHEMBL591	19469	144.6	8.0	mg/L
ETHINAMATE	ETHINAMATE	CHEMBL1576	453538	167.21	10.0	mg/L
ETHOSUXIMIDE	ETHOSUXIMIDE	CHEMBL696	31811	141.17	60.0	mg/L
ETIDOCAINE	ETIDOCAINE	CHEMBL492	6883	276.42	1.5	mg/L
ETILEFRINE	ETILEFRINE	CHEMBL86882	139072	181.24	0.06	mg/L
ETODOLAC	ETODOLAC	CHEMBL622	26431	287.36	20.0	mg/L
ETOMIDATE	ETOMIDATE	CHEMBL681	29090	244.29	0.5	mg/L
ETOPOSIDE	ETOPOSIDE	CHEMBL44657	68607	588.56	14.0	mg/L
ETORICOXIB	ETORICOXIB	CHEMBL416146	6706	358.85	3.6	mg/L
ETRAVIRINE	ETRAVIRINE	CHEMBL308954	113138	435.29	2.98	mg/L
EVEROLIMUS	EVEROLIMUS	CHEMBL1908360	1248731	958.24	0.013999999999999999	mg/L
EZETIMIBE	EZETIMIBE	CHEMBL1138	175106	409.43	0.015	mg/L
FAMOTIDINE	FAMOTIDINE	CHEMBL902	78303	337.46	0.2	mg/L
FELBAMATE	FELBAMATE	CHEMBL1094	150451	238.24	110.0	mg/L
FELBINAC	FELBINAC	CHEMBL413965	151923	212.25	1.0	mg/L
FELODIPINE	FELODIPINE	CHEMBL1480	405365	384.26	0.012	mg/L
FENBUFEN	FENBUFEN	CHEMBL277522	16456	254.28	60.0	mg/L
FENFLURAMINE	FENFLURAMINE	CHEMBL87493	139434	231.26	0.3	mg/L
FENOFIBRATE	FENOFIBRATE	CHEMBL672	28331	360.84	30.0	mg/L
FENOLDOPAM	FENOLDOPAM	CHEMBL588	19278	305.76	0.06	mg/L
FENOPROFEN	FENOPROFEN	CHEMBL1297	255534	242.27	60.0	mg/L
FENOTEROL	FENOTEROL	CHEMBL32800	49226	303.36	0.04	mg/L
FENTANYL	FENTANYL	CHEMBL596	19915	336.48	0.3	mg/L
FEXOFENADINE	FEXOFENADINE	CHEMBL914	81683	501.67	0.3	mg/L
FINASTERIDE	FINASTERIDE	CHEMBL710	33679	372.55	0.01	mg/L
FLECAINIDE	FLECAINIDE	CHEMBL652	27588	414.35	0.8	mg/L
FLUCLOXACILLIN	FLOXACILLIN	CHEMBL222645	371745	453.88	40.0	mg/L
FLUCONAZOLE	FLUCONAZOLE	CHEMBL106	13758	306.28	15.0	mg/L
FLUCYTOSINE	FLUCYTOSINE	CHEMBL1463	393942	129.09	50.0	mg/L
FLUMAZENIL	FLUMAZENIL	CHEMBL407	635	303.29	0.1	mg/L
FLUNARIZINE	FLUNARIZINE	CHEMBL30008	38764	404.5	0.2	mg/L
FLUNITRAZEPAM	FLUNITRAZEPAM	CHEMBL13280	11715	313.29	0.015	mg/L
5-FLUOROURACIL	FLUOROURACIL	CHEMBL185	368538	130.08	0.3	mg/L
FLUOXETINE	FLUOXETINE	CHEMBL41	2223	309.33	0.5	mg/L
FLUPHENAZINE	FLUPHENAZINE	CHEMBL726	36842	437.53	0.01	mg/L
FLURAZEPAM	FLURAZEPAM	CHEMBL968	95929	387.89	0.1	mg/L
FLURBIPROFEN	FLURBIPROFEN	CHEMBL563	16308	244.26	15.0	mg/L
FLUVASTATIN	FLUVASTATIN	CHEMBL2220442	1450253	411.47	0.4	mg/L
FLUVOXAMINE	FLUVOXAMINE	CHEMBL814	54722	318.34	0.23	mg/L
FOSAMPRENAVIR	FOSAMPRENAVIR	CHEMBL1664	499624	585.62	0.4	mg/L
FROVATRIPTAN	FROVATRIPTAN	CHEMBL1279	250328	243.31	0.008	mg/L
FUROSEMIDE	FUROSEMIDE	CHEMBL35	2046	330.75	10.0	mg/L
GABAPENTIN	GABAPENTIN	CHEMBL940	88316	171.24	30.0	mg/L
GALANTAMINE	GALANTAMINE	CHEMBL659	27639	287.36	0.06	mg/L
GANCICLOVIR	GANCICLOVIR	CHEMBL182	365284	255.23	5.0	mg/L
GEMCITABINE	GEMCITABINE	CHEMBL888	75901	263.2	20.0	umol/L
GEMFIBROZIL	GEMFIBROZIL	CHEMBL457	2994	250.34	25.0	mg/L
GENTAMICIN	GENTAMICIN	CHEMBL3039597	1592408	1390.73	10.0	mg/L
GLIMEPIRIDE	GLIMEPIRIDE	CHEMBL1481	405366	490.63	0.5	mg/L
GLIPIZIDE	GLIPIZIDE	CHEMBL1073	139286	445.55	1.5	mg/L
GLUTETHIMIDE	GLUTETHIMIDE	CHEMBL1102	151300	217.27	5.0	mg/L
GLIBENCLAMIDE	GLYBURIDE	CHEMBL472	5582	494.01	0.2	mg/L
