molregno	pref_name	parent_chembl_id	median_Molar_value	median_pMolar_value
1788	MOXIFLOXACIN	CHEMBL32	1.0213232363491431e-05	4.9908367872507995
1795	LEVOFLOXACIN	CHEMBL33	1.9370728062650474e-05	4.712854055705808
2045	HYDROCHLOROTHIAZIDE	CHEMBL435	6.717044500419815e-06	5.172821774490834
2046	FUROSEMIDE	CHEMBL35	3.0234315948601665e-05	4.519499852859538
2080	PYRIMETHAMINE	CHEMBL36	6.030878095850756e-06	5.219619449979454
2132	THIAMYLAL	CHEMBL440	1.9657951641438962e-05	4.706461737631355
2166	THIOPENTAL	CHEMBL441	2.063216967896344e-05	4.685455099217613
2198	CYCLOBARBITAL	CHEMBL268164	2.5394675583019426e-05	4.595257330911951
2203	ERGOTAMINE	CHEMBL442	7.220588993759349e-10	9.141427374964097
2216	METHOHEXITAL	CHEMBL7413	4.193511494033776e-05	4.377422162283197
2217	PHENOBARBITAL	CHEMBL40	9.795900792283844e-05	4.008955621830486
2223	FLUOXETINE	CHEMBL41	1.6163967284130218e-06	5.791452037240531
2247	SULFAMETHOXAZOLE	CHEMBL443	0.00047378395451674036	3.324419651470656
2256	BARBITAL	CHEMBL444	0.00010858352787882079	3.9642360522233964
2261	CLOZAPINE	CHEMBL42	1.0708931248661384e-06	5.970253869594787
2262	NORTRIPTYLINE	CHEMBL445	5.695193256891184e-07	6.244491534275417
2326	SECOBARBITAL	CHEMBL447	2.0982836040119184e-05	4.678135812933035
2327	PENTOBARBITAL	CHEMBL448	4.4193035177656004e-05	4.354646170068372
2366	AMOBARBITAL	CHEMBL267894	2.2096517588828002e-05	4.655676165732353
2393	BUTABARBITAL	CHEMBL449	7.06713780918728e-05	4.150756439860309
2431	CHLORDIAZEPOXIDE	CHEMBL451	1.00080064051241e-05	4.9996524253660795
2465	CLONAZEPAM	CHEMBL452	2.533890789306981e-07	6.596212107141384
2484	SULFISOXAZOLE	CHEMBL453	0.00037409748980584345	3.4270152059079915
2524	BUTALBITAL	CHEMBL454	2.2295549808258274e-05	4.651781813480397
2580	AMSACRINE	CHEMBL43	1.3978194017332959e-05	4.854548935812951
2654	ETHACRYNIC ACID	CHEMBL456	3.298805832288712e-07	6.481643246275584
2994	GEMFIBROZIL	CHEMBL457	9.986418470879605e-05	4.00059023922363
3012	MELATONIN	CHEMBL45	4.3051489581539524e-07	6.3660118173612865
3183	ONDANSETRON	CHEMBL46	5.762997238981491e-07	6.239351588486558
3599	BUSPIRONE	CHEMBL49	1.0375865736297372e-08	7.983975656658212
3683	KETANSERIN	CHEMBL51	1.264446298965683e-06	5.898099610414565
3730	METHYLDOPA	CHEMBL459	2.3672000757504024e-05	4.62576503395
3799	MOLINDONE	CHEMBL460	1.8091034083508214e-06	5.742536608158096
3859	HALOPERIDOL	CHEMBL54	5.320988639689255e-08	7.274007668293007
3965	PENTAMIDINE	CHEMBL55	1.1843653614546308e-06	5.926514302691971
4345	NEVIRAPINE	CHEMBL57	1.1265490048817123e-05	4.948249911719278
4496	DRONABINOL	CHEMBL465	1.5899767863389193e-07	6.798609216332697
4941	ISONIAZID	CHEMBL64	3.8354965728452684e-05	4.416178400975617
5028	THALIDOMIDE	CHEMBL468	3.09801339890795e-05	4.508916708249116
5080	KETOROLAC	CHEMBL469	1.175226231049477e-05	4.929878523656783
5528	SOTALOL	CHEMBL471	1.4685905202481918e-05	4.833099279490037
5582	GLYBURIDE	CHEMBL472	4.048501042489019e-07	6.392705744556959
5970	THIORIDAZINE	CHEMBL479	3.3729998111120108e-06	5.471983683131289
6005	MORPHINE	CHEMBL70	3.50459101422864e-07	6.455362656906286
6167	CODEINE	CHEMBL485	8.350870160670742e-07	6.078268268673513
6216	CHLORPROMAZINE	CHEMBL71	1.568037131119265e-06	5.8046436574364835
6243	DESIPRAMINE	CHEMBL72	9.384736664289201e-07	6.027577909174826
6317	AMINOGLUTETHIMIDE	CHEMBL488	0.00010762872395384881	3.968071808689249
6579	CHLOROQUINE	CHEMBL76	9.253470051269224e-07	6.033695376286286
6643	PAROXETINE	CHEMBL490	1.0322737347056506e-07	6.986205122758719
6706	ETORICOXIB	CHEMBL416146	1.0032046816218475e-05	4.998610449801047
6723	LIDOCAINE	CHEMBL79	1.344200733976274e-07	6.871535871796601
6772	PIRENZEPINE	CHEMBL9967	1.2805554765089212e-06	5.892601602185939
6883	ETIDOCAINE	CHEMBL492	5.4265248534838285e-06	5.265478203580642
6902	NALOXONE	CHEMBL80	9.163663021565154e-08	7.037930889644752
6968	TAMOXIFEN	CHEMBL83	1.3458225667527995e-06	5.871012193722461
7065	BROMOCRIPTINE	CHEMBL493	6.11050854707383e-09	8.213922644095057
7494	ILOPROST	CHEMBL494	2.774002052761519e-10	9.556893221884698
7501	TOPOTECAN	CHEMBL84	2.372760707082691e-08	7.624746058172765
7714	RISPERIDONE	CHEMBL85	4.87222587639163e-08	7.312272586016282
7725	CROMOLYN	CHEMBL428880	2.1350641586779684e-08	7.670589069893688
7736	METOCLOPRAMIDE	CHEMBL86	5.003335557038025e-07	6.300740369456579
8062	PACLITAXEL	CHEMBL428647	7.963275248266816e-06	5.098908272753276
8167	HEXACHLOROPHENE	CHEMBL496	1.5974048315352291e-06	5.796585006327789
8209	AGOMELATINE	CHEMBL10878	1.2329949447207265e-06	5.909038704007994
8417	CYCLOPHOSPHAMIDE	CHEMBL88	9.575242253629018e-05	4.018850229569951
8516	CHLORPROPAMIDE	CHEMBL498	0.0005420054200542005	3.265996370495079
8531	TIMOLOL	CHEMBL499	3.1602566128369626e-07	6.500277651237841
8543	PINDOLOL	CHEMBL500	6.040349534893085e-07	6.218937929477692
8788	HYDRALAZINE	CHEMBL276832	9.364464976900985e-06	5.028517030271354
8873	AMPHOTERICIN B	CHEMBL267345	3.1382224675085753e-06	5.503316272671726
8917	MICONAZOLE	CHEMBL91	2.403037439323305e-06	5.6192394628353615
9277	PHYSOSTIGMINE	CHEMBL94	1.8158707100054476e-08	7.740915076481283
9333	TACRINE	CHEMBL95	1.10218136884047e-07	6.957746934517374
9372	DONEPEZIL	CHEMBL502	1.976284584980237e-07	6.704150516839799
10389	PRIMAQUINE	CHEMBL506	7.71158665895508e-07	6.112856256665623
10813	SERTINDOLE	CHEMBL12713	2.2678308198208415e-07	6.644389346939082
11002	CHLORAMBUCIL	CHEMBL515	3.2870948655578196e-06	5.483187761998763
11005	CYPROHEPTADINE	CHEMBL516	1.739675028704638e-07	6.759531870350376
11066	INAMRINONE	CHEMBL12856	2.136752136752137e-05	4.670245853074124
11143	DISOPYRAMIDE	CHEMBL517	1.428488570755273e-05	4.845123230029418
11265	SPARTEINE	CHEMBL412873	4.266393617475149e-06	5.369939079029239
11474	PEFLOXACIN	CHEMBL267648	1.7998560115190783e-05	4.7447622370655775
11674	IBUPROFEN	CHEMBL521	0.00014543339150668993	3.837335868015015
11715	FLUNITRAZEPAM	CHEMBL13280	4.7878961984104185e-08	7.319855273667932
11745	NITRAZEPAM	CHEMBL13209	3.555302734027803e-07	6.4491234131845605
11819	PROPOFOL	CHEMBL526	4.487575026644976e-05	4.347988277492059
11968	PIROXICAM	CHEMBL527	1.8107741059302852e-05	4.7421357245434725
12105	CEFTIZOXIME	CHEMBL528	0.0004173078427792702	3.3795434531896733
12417	PHENYLBUTAZONE	CHEMBL101	0.0003242752448278099	3.4890862041023505
12428	AZITHROMYCIN	CHEMBL529	1.1775033377837116e-06	5.929037853134104
12506	ERYTHROMYCIN	CHEMBL532	9.537564378559556e-06	5.020562517539417
12890	OXATOMIDE	CHEMBL13828	2.3443360840210054e-07	6.6299801277337655
12957	KETOTIFEN	CHEMBL534	1.2926994796884594e-08	7.888502425995464
13048	SUNITINIB	CHEMBL535	6.123268419995984e-08	7.213016702385597
13372	AMINOBENZOIC ACID	CHEMBL542	0.004375091147732245	2.3590128947457125
13756	OXPRENOLOL	CHEMBL546	3.768607499528924e-06	5.423819091965404
13758	FLUCONAZOLE	CHEMBL106	4.897479430586392e-05	4.310027379366219
13928	ISOTRETINOIN	CHEMBL547	1.9082013047530287e-06	5.719375811533495
13949	ILOPERIDONE	CHEMBL14376	2.3447208609815003e-08	7.629908852629606
14126	NEOSTIGMINE	CHEMBL278020	4.478280340349306e-08	7.348888723071438
14263	REBOXETINE	CHEMBL14370	1.116783663050415e-06	5.952030947782296
14367	CITALOPRAM	CHEMBL549	3.390875462392109e-07	6.469688160380893
14440	COLCHICINE	CHEMBL107	6.258762267174044e-09	8.203511544375015
14805	LAPATINIB	CHEMBL554	9.035056017347304e-07	6.044069150468914
15086	CARBAMAZEPINE	CHEMBL108	5.078935116603885e-05	4.29422733524797
15191	YOHIMBINE	CHEMBL15245	8.463817181548878e-07	6.072433725968388
15217	VALPROIC ACID	CHEMBL109	0.0007454406767907909	3.1275869125966853
15938	DEFEROXAMINE	CHEMBL556	2.6752751074568832e-05	4.572631551397107
15958	MEXILETINE	CHEMBL558	1.1156978690170702e-05	4.952453396423033
16088	RIMONABANT	CHEMBL111	4e-07	6.3979400086720375
16225	NOMIFENSINE	CHEMBL273575	4.1958628792011076e-07	6.377178712990244
16303	GRISEOFULVIN	CHEMBL562	1.9066247129857991e-06	5.719734782108048
16308	FLURBIPROFEN	CHEMBL563	6.140997297961189e-05	4.211761093707362
16391	PROMAZINE	CHEMBL564	1.4063214147593432e-06	5.851915409967919
16415	CLOFIBRATE	CHEMBL565	0.0010300782859497322	2.987129767659897
16450	ACETAMINOPHEN	CHEMBL112	0.0001170944694363588	3.9314636168831703
16456	FENBUFEN	CHEMBL277522	0.00023596035865974514	3.627160952374776
16485	CAFFEINE	CHEMBL113	5.1495957567330964e-05	4.288226861737593
16498	PHENACETIN	CHEMBL16073	0.00011159468809284678	3.9523564773237907
16505	PERPHENAZINE	CHEMBL567	5.940888162780335e-09	8.226148623139983
16506	OXAZEPAM	CHEMBL568	5.231584821428571e-06	5.28136672892635
16510	SULINDAC	CHEMBL15770	1.402839346838e-05	4.8529920615280755
16581	PROCAINE	CHEMBL569	6.347594261774787e-05	4.197390841133298
16584	TRIFLUPROMAZINE	CHEMBL570	2.8374428964617086e-07	6.547072869887322
16591	KETOPROFEN	CHEMBL571	7.86503598253962e-05	4.104299286138895
16592	NITROFURANTOIN	CHEMBL572	2.0994289553241517e-05	4.6778988173026494
16656	NIACIN	CHEMBL573	0.0001462107058727967	3.835020826206804
16847	ENALAPRIL	CHEMBL578	2.656395271616417e-07	6.575707301476683
16959	LORAZEPAM	CHEMBL580	7.784281977830365e-07	6.108781440571449
16960	BROMAZEPAM	CHEMBL277062	6.325910931174089e-07	6.198876927243553
17169	SAQUINAVIR	CHEMBL114	4.948871597650778e-07	6.30549381415311
17170	INDINAVIR	CHEMBL115	7.1195829260345374e-06	5.147545447125382
17224	NELFINAVIR	CHEMBL584	0.0007731595632264884	3.111730867947717
17347	AMPRENAVIR	CHEMBL116	1.2063918993750494e-05	4.918511587645162
17411	TRIAMTERENE	CHEMBL585	3.948355509930114e-07	6.403583750366688
19278	FENOLDOPAM	CHEMBL588	1.9623233908948196e-07	6.707229419327294
19316	ROPINIROLE	CHEMBL589	2.304324448882403e-08	7.637456372280504
19469	ETHCHLORVYNOL	CHEMBL591	5.532503457814662e-05	4.257078305966568
19569	TERFENADINE	CHEMBL17157	2.120036464627192e-08	7.673656669141918
19572	LEVORPHANOL	CHEMBL592	7.77061154712876e-08	7.109544800878346
19915	FENTANYL	CHEMBL596	5.0820256776034235e-09	8.293963144950093
20027	ROSIGLITAZONE	CHEMBL121	8.393017009847806e-07	6.076081896715853
20496	MELOXICAM	CHEMBL599	4.624228109615548e-06	5.33496075064639
21036	CYSTEAMINE	CHEMBL602	1.9999999999999998e-05	4.698970004336019
21459	NALTREXONE	CHEMBL19019	1.464514806244691e-07	6.834306233242975
21523	ZAFIRLUKAST	CHEMBL603	8.051208115478814e-07	6.0941389471453
21698	MOXONIDINE	CHEMBL19236	1.6550810989738497e-08	7.781180720937262
21716	PAPAVERINE	CHEMBL19224	5.892925542885766e-06	5.229669046180964
22528	MEPERIDINE	CHEMBL607	3.2344141667340504e-06	5.490204369460385
22572	METHAQUALONE	CHEMBL282052	1.1985617259288853e-05	4.921339594888561
23001	ZOMEPIRAC	CHEMBL19490	1.3711308401604223e-05	4.862921100682098
23093	TERAZOSIN	CHEMBL611	2.064835845550279e-07	6.685114469046539
23522	PYRAZINAMIDE	CHEMBL614	0.00037364958167492474	3.427535499628536
24991	CEPHALOTHIN	CHEMBL617	7.567158531971244e-05	4.1210671674677295
25047	MILTEFOSINE	CHEMBL125	0.00017174542421119788	3.7651148249601136
26280	LINEZOLID	CHEMBL126	4.3574922187638955e-05	4.360763379743137
26386	MEROPENEM	CHEMBL127	0.00014759955146426056	3.8309149622751217
26401	TRAZODONE	CHEMBL621	2.6891117863769597e-06	5.570391143779831
26431	ETODOLAC	CHEMBL622	6.959910913140311e-05	4.1573963193232295
26443	DIMETHINDENE	CHEMBL22108	1.7098108949150224e-07	6.767051919921517
26465	NEFAZODONE	CHEMBL623	6.382707118846006e-07	6.194995083439113
26820	ANTIPYRINE	CHEMBL277474	0.00013281623545662223	3.8767488335655207
27028	LORMETAZEPAM	CHEMBL22097	7.458456397863899e-08	7.127351044813643
27029	PENTOXIFYLLINE	CHEMBL628	7.1862311810570945e-06	5.143498815653154
27072	AMITRIPTYLINE	CHEMBL629	1.0814318157240184e-06	5.966000857628784
27111	SUMATRIPTAN	CHEMBL128	2.031075454453133e-07	6.692273942255493
27112	PROPAFENONE	CHEMBL631	5.857372968223752e-06	5.232297121390443
27185	AMIODARONE	CHEMBL633	3.8740469844418275e-06	5.411835116461491
27190	ALFENTANIL	CHEMBL634	1.4404724749717906e-06	5.841495035948007
27251	RIVASTIGMINE	CHEMBL636	7.989134776703684e-08	7.097500252231686
27278	VENLAFAXINE	CHEMBL637	1.4419090876320248e-06	5.841062121020484
27307	ZIDOVUDINE	CHEMBL129	5.653882132834425e-06	5.2476532495417905
27308	VORICONAZOLE	CHEMBL638	5.439138898431238e-06	5.264469850533606
27309	AZELASTINE	CHEMBL639	2.618417951873478e-08	7.581961030166877
27340	CHLORAMPHENICOL	CHEMBL130	7.736824188407143e-05	4.111437271938078
27341	PROCAINAMIDE	CHEMBL640	5.09922236858879e-05	4.292496048761037
27342	ATOMOXETINE	CHEMBL641	3.9160401002506265e-06	5.407152869670635
27347	ACEBUTOLOL	CHEMBL642	5.9447730582885e-06	5.225864719920689
27368	PROMETHAZINE	CHEMBL643	1.4063214147593432e-06	5.851915409967919
27370	PREDNISOLONE	CHEMBL131	2.0224719101123594e-06	5.694117501541607
27385	TRIMIPRAMINE	CHEMBL644	1.0188833038989266e-06	5.99187555433994
27417	BISOPROLOL	CHEMBL645	3.072668612690122e-07	6.512484275877902
27419	TRIAZOLAM	CHEMBL646	5.8271662490530854e-08	7.234542591311529
27546	CYCLIZINE	CHEMBL648	9.384736664289201e-07	6.027577909174826
27569	NEBIVOLOL	CHEMBL434394	4.932912391475927e-07	6.3068965975393665
27570	NADOLOL	CHEMBL649	8.079893991790827e-07	6.092594337131638
27576	METHADONE	CHEMBL651	2.423654871546292e-06	5.615529223637132
27588	FLECAINIDE	CHEMBL652	1.9307348859659706e-06	5.714277356187775
27609	CLONIDINE	CHEMBL134	1.738374619730552e-08	7.759856627340681
27610	MIRTAZAPINE	CHEMBL654	1.1305396442568585e-06	5.946714203791763
27611	MIDAZOLAM	CHEMBL655	4.9574853424194975e-08	7.304738561180298
27616	REMOXIPRIDE	CHEMBL22242	5.790777849601379e-06	5.2372630954953685
27624	OXYCODONE	CHEMBL656	3.1708786504740465e-07	6.49882037810471
27629	DIPHENHYDRAMINE	CHEMBL657	3.9160401002506267e-07	6.407152869670635
27638	SUFENTANIL	CHEMBL658	2.5869205298013247e-08	7.587216912605019
27639	GALANTAMINE	CHEMBL659	2.0879732739420935e-07	6.680275064603567
27647	AMANTADINE	CHEMBL660	6.611570247933885e-06	5.179695383324506
27648	ALPRAZOLAM	CHEMBL661	1.4250089063056644e-07	6.846182421306477
27713	MAPROTILINE	CHEMBL21731	4.6862045348040805e-07	6.32917876004161
27912	METRONIDAZOLE	CHEMBL137	5.258237906052816e-05	4.27915976837257
27986	ITRACONAZOLE	CHEMBL22587	6.518812442428965e-07	6.185831514187599
28112	PROTRIPTYLINE	CHEMBL668	1.1390386513782368e-06	5.943461538611436
28119	CYCLOBENZAPRINE	CHEMBL669	1.4524328249818448e-07	6.837903944592942
28331	FENOFIBRATE	CHEMBL672	8.313934153641504e-05	4.08019341942848
29005	CEFACLOR	CHEMBL680	0.0024469155270384164	2.6113810232000385
29090	ETOMIDATE	CHEMBL681	2.0467477178762946e-06	5.688935685176481
29097	AMODIAQUINE	CHEMBL682	1.6722398628712732e-06	5.776701428063272
29569	DIETHYLCARBAMAZINE	CHEMBL684	5.017561465127948e-06	5.299507298700488
29637	MEBENDAZOLE	CHEMBL685	3.3863867253640365e-07	6.470263446965078
29890	DICLOFENAC	CHEMBL139	3.7345939557656593e-06	5.427756610008283
29989	MEFENAMIC ACID	CHEMBL686	8.288781134734138e-05	4.081509327758223
31289	DALFAMPRIDINE	CHEMBL284348	7.968550786230343e-07	6.098620655112284
31804	TRIMETHADIONE	CHEMBL695	0.00027944669554282525	3.553701021549961
31811	ETHOSUXIMIDE	CHEMBL696	0.00042501948005950273	3.3715911643297605
31857	METHSUXIMIDE	CHEMBL697	0.000196811651249754	3.705949194910296
32869	BACLOFEN	CHEMBL701	1.7785266310961337e-06	5.749939627441087
33055	PIPERACILLIN	CHEMBL702	0.00013525001932143137	3.8688626641793196
33202	MESALAMINE	CHEMBL704	6.52997257411519e-06	5.185088642757919
33373	DOXAZOSIN	CHEMBL707	3.32240630814211e-07	6.478547257316939
33466	INDORAMIN	CHEMBL279516	2.8780291256547517e-07	6.540904815317018
33583	MINAPRINE	CHEMBL278819	3.351318743925735e-07	6.474784264452135
33664	ZIPRASIDONE	CHEMBL708	4.84320135609638e-07	6.31486747478503
33667	ALFUZOSIN	CHEMBL709	9.44898063986032e-08	7.024615040841249
33679	FINASTERIDE	CHEMBL710	2.684203462622467e-08	7.571184567733605
33889	ENTECAVIR	CHEMBL713	3.0000000000000004e-08	7.522878745280337
33986	LAMIVUDINE	CHEMBL141	7.720492017796387e-06	5.112355021710246
34094	ALBUTEROL	CHEMBL714	8.357360745476579e-08	7.077930851106911
34197	OLANZAPINE	CHEMBL715	2.560491614389963e-07	6.591676642141684
34234	QUETIAPINE	CHEMBL716	1.3037129745515228e-06	5.88481801235356
34266	ZOTEPINE	CHEMBL285802	4.519842106849067e-07	6.3448767362775325
34350	MEDAZEPAM	CHEMBL28333	3.6933077263997637e-06	5.432584505425221
34949	BROMPERIDOL	CHEMBL28218	4.7582794061667304e-08	7.322550059778014
36502	CELIPROLOL	CHEMBL27810	2.635046113306983e-06	5.579211780231499
36662	CARVEDILOL	CHEMBL723	7.380436921865774e-07	6.1319179271825766
36842	FLUPHENAZINE	CHEMBL726	2.2855575617671933e-08	7.641007836530388
37266	PROCHLORPERAZINE	CHEMBL728	1.3370771493515176e-07	6.873843533223436
37316	LOPINAVIR	CHEMBL729	1.7763712409153797e-05	4.750466266579683
37493	NITROGLYCERIN	CHEMBL730	6.605310669778502e-08	7.180106751251948
38727	LAMOTRIGINE	CHEMBL741	5.466614603670441e-05	4.262281542790191
38764	FLUNARIZINE	CHEMBL30008	4.944375772558714e-07	6.30588853028431
38833	KETAMINE	CHEMBL742	2.5238716190636437e-05	4.5979327399787175
38898	RILUZOLE	CHEMBL744	2.1349274124679764e-06	5.6706168864003255
39540	NEDOCROMIL	CHEMBL746	6.732193348592972e-08	7.171843419579579
39857	ZONISAMIDE	CHEMBL750	0.00018847476794044198	3.7247467827404757
43086	GUANETHIDINE	CHEMBL765	5.04261005496445e-08	7.297344614534694
43354	ESMOLOL	CHEMBL768	6.7709391292572285e-06	5.169351090492418
43934	IMIPENEM	CHEMBL148	0.00013629530649741106	3.8655190993918236
44920	TADALAFIL	CHEMBL779	1.2326339847461544e-06	5.909165862579497
45838	BUTORPHANOL	CHEMBL33986	6.107429688215714e-09	8.214141524140969
46726	TOLBUTAMIDE	CHEMBL782	0.000369890882189754	3.4319263739116432
47447	MONTELUKAST	CHEMBL787	6.823609689525759e-07	6.165985822774454
48701	CIDOFOVIR	CHEMBL152	0.0001540169776854472	3.8124314031330138
49226	FENOTEROL	CHEMBL32800	1.3185654008438818e-07	6.87989832433001
49842	METHYLPHENIDATE	CHEMBL796	2.5716857400025716e-07	6.589782103291143
49847	ESTAZOLAM	CHEMBL285674	6.785411365564037e-07	6.168423818103146
49869	PHENSUXIMIDE	CHEMBL797	0.00010570265842185931	3.975914090049001
49931	METHOTREXATE	CHEMBL34259	0.0005000440092419407	3.300991771404322
51042	MINOXIDIL	CHEMBL802	9.55794504181601e-07	6.019635471001316
51056	NAPROXEN	CHEMBL154	0.00043429167028576397	3.3622185003260525
51162	MEFLOQUINE	CHEMBL416956	2.6432649608796786e-06	5.57785930100737
51182	CYTARABINE	CHEMBL803	2.0557519940794343e-06	5.68702927980295
52087	FLUTAMIDE	CHEMBL806	1.7197060207812901e-06	5.764545788246281
52523	MEMANTINE	CHEMBL807	8.365400702693658e-07	6.077513251497662
53616	SERTRALINE	CHEMBL809	8.163531870428422e-07	6.088121907424712
53623	PIRACETAM	CHEMBL36715	0.0003517163759144626	3.453807410461226
54051	BROMPHENIRAMINE	CHEMBL811	4.698512137823023e-08	7.3280396468797715
54211	EPROSARTAN	CHEMBL813	4.357862998209743e-06	5.360726427154649
54547	GRANISETRON	CHEMBL289469	5.441392996607132e-08	7.2642899066810624
54722	FLUVOXAMINE	CHEMBL814	7.224979581579444e-07	6.141163375923651
56432	OXACILLIN	CHEMBL819	0.00015942606616181745	3.7974406699866483
56644	BUSULFAN	CHEMBL820	3.6539320368641147e-06	5.437239534785721
56831	TERBINAFINE	CHEMBL822	1.0293713972001098e-05	4.987427903514197
57175	ENOXACIN	CHEMBL826	1.2487512487512488e-05	4.903524064471262
57397	DEXMETHYLPHENIDATE	CHEMBL827	9.858128670009858e-08	7.006205517657194
57488	BEZAFIBRATE	CHEMBL264374	4.1455932343918414e-05	4.382413313126267
57833	METHYLPROMAZINE	CHEMBL829	1.3402579996649356e-06	5.872811591899731
59519	LOXAPINE	CHEMBL831	3.050547573289406e-07	6.515622197796337
60232	SULFINPYRAZONE	CHEMBL832	4.2028233083636184e-05	4.376458867861729
60246	AMINOPYRINE	CHEMBL288470	8.646779074794638e-05	4.063145637106638
60319	TICLOPIDINE	CHEMBL833	7.58178854391751e-06	5.120228332213779
60371	EDARAVONE	CHEMBL290916	5.999999999999999e-06	5.221848749616356
60401	PAMIDRONIC ACID	CHEMBL834	5.870591738631046e-06	5.231318120921058
61680	AZTREONAM	CHEMBL158	0.0005741319125482271	3.2409883126369796
61682	CEFTAZIDIME	CHEMBL44354	0.0003842002232020344	3.4154423871698385
62182	CARTEOLOL	CHEMBL839	3.4202065804774613e-07	6.465947661764938
62615	CHLOROTHIAZIDE	CHEMBL842	2.028877692489771e-05	4.692744132896572
63252	CALCITRIOL	CHEMBL846	1.1249999999999999e-05	4.948847477552619
65415	MELPHALAN	CHEMBL852	4.91464893024475e-06	5.308507499826347
65455	BENPERIDOL	CHEMBL297302	2.6215755669157166e-08	7.58143761923139
65494	ZALCITABINE	CHEMBL853	4.734400151500805e-07	6.324735038286018
65539	TRIPROLIDINE	CHEMBL855	1.6163793103448276e-07	6.791456717163181
65605	ASTEMIZOLE	CHEMBL296419	1.0903222992716648e-07	6.962445105632598
65728	PRIMIDONE	CHEMBL856	6.872537340786218e-05	4.162882891811399
65935	OXYPURINOL	CHEMBL859	9.861284596673458e-05	4.0060665072791
66273	CARBINOXAMINE	CHEMBL864	1.375563121152722e-07	6.861519476129007
66311	CINNARIZINE	CHEMBL43064	8.954737870400521e-07	6.047947122612806
67617	ETHAMBUTOL	CHEMBL44884	1.4438842934756006e-05	4.840467607817937
67839	CHLOROFORM	CHEMBL44618	0.0004188306248952924	3.377961570219637
68396	MYCOPHENOLIC ACID	CHEMBL866	6.6179684085659e-05	4.179275310312801
68607	ETOPOSIDE	CHEMBL44657	2.3786869647954332e-05	4.623662707356204
70140	VANCOMYCIN	CHEMBL262777	3.5190130203481745e-05	4.453579126272253
70674	ALENDRONIC ACID	CHEMBL870	1.0638297872340427e-06	5.973127853599698
72035	MIBEFRADIL	CHEMBL45816	6.052780243725284e-07	6.218045093586206
72873	CYCLOSPORINE	CHEMBL160	7.733051728295486e-07	6.111649084709039
