Original drug name	Original synonyms	Fu	PMID	inchi_key	SMILES
Anidulafungin		0.16	PMID30115648	JHVAMHSQVVQIOT-FUVWCVBOSA-N	CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@@H](NC(=O)C(NC(=O)[C@@H]6C[C@@H](O)CN6C(=O)C(NC4=O)[C@@H](C)O)[C@H](O)[C@@H](O)c7ccc(O)cc7)[C@@H](C)O
Antipyrine		0.93	PMID30115648	VEQOALNAAJBPNY-UHFFFAOYSA-N	CN1N(C(=O)C=C1C)c2ccccc2
Antofloxacin		0.82	PMID30115648	MHFCVNDHFSOKMK-VIFPVBQESA-N	O=C(C(C(=C(C(=C1F)N(CCN2C)CC2)OC2)N(C3)[C@H]2C)=C1N)C=3C(O)=O
Apalcillin		0.1	PMID30115648	XMQVYNAURODYCQ-ORKOQCBKSA-N	[H]N(C([C@@H](c1ccccc1)N([H])C(c1cnc2cccnc2c1O[H])=O)=O)[C@@H]1C2N(C1=O)[C@@H](C(=O)O[H])C(C)(C)S2
Apixaban		0.13	PMID30115648	QNZCBYKSOIHPEH-UHFFFAOYSA-N	N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O
Apomorphine		0.05	PMID30115648	VMWNQDUVQKEIOC-CYBMUJFWSA-N	c12c3c4c(ccc(c4O)O)C[C@H]1[N@@](CCc2ccc3)C
Apremilast		0.32	PMID30115648	MUKPBEDSDFRMNQ-GOSISDBHSA-N	CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(c3C2=O)CC(=O)C
Aprepitant		0.05	PMID30115648	ATALOFNDEOCMKK-OITMNORJSA-N	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F
Argatroban		0.46	PMID30115648	KXNPVXPOPUZYGB-IOVMHBDKSA-N	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23
Aripiprazole		0.01	PMID30115648	CEUORZQYGODEFX-UHFFFAOYSA-N	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
Artesunate		0.25	PMID30115648	FIHJKUPKCHIPAT-AHIGJZGOSA-N	C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
Articaine		0.46	PMID30115648	QTGIAADRBBLJGA-SECBINFHSA-N	s1c(C(OC)=O)c(NC([C@@H](C)NCCC)=O)c(c1)C
Ascorbic acid		0.26	PMID30115648	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O
Asenapine		0.05	PMID30115648	VSWBSWWIRNCQIJ-HUUCEWRRSA-N	c12c(cccc1)Oc1ccc(cc1[C@@H]1[C@@H]2CN(C1)C)Cl
Astragaloside IV		0.14	PMID30115648	QMNWISYXSJWHRY-YLNUDOOFSA-N	CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O
Asunaprevir		0.012	PMID30115648	XRWSZZJLZRKHHD-WVWIJVSJSA-N	COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5cc(Cl)ccc15
Atenolol		0.94	PMID30115648	METKIMKYRPQLGS-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(CC(=O)N)cc1
Atomoxetine		0.02	PMID30115648	VHGCDTVCOLNTBX-QGZVFWFLSA-N	CNCC[C@@H](Oc1ccccc1C)c2ccccc2
Atovaquone		0.001	PMID30115648	KUCQYCKVKVOKAY-CTYIDZIISA-N	OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O
Atracurium		0.52	PMID30115648	YXSLJKQTIDHPOT-UHFFFAOYSA-N	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC
Atropine		0.61	PMID30115648	RKUNBYITZUJHSG-SPUOUPEWSA-N	CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
Avarofloxacin		0.34	PMID30115648	VMKVDAAFMQKZJS-LFIBNONCSA-N	COc1c2c(cc(c1N3CCC/C(=C(/CN)\F)/C3)F)c(=O)c(cn2C4CC4)C(=O)O
Avibactam		0.93	PMID30115648	NDCUAPJVLWFHHB-UHNVWZDZSA-N	N12C(=O)N([C@H](CC[C@H]1C(=O)N)C2)OS(=O)(=O)O
Axitinib		0.004	PMID30115648	RITAVMQDGBJQJZ-FMIVXFBMSA-N	CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4
Azapropazone		0.004	PMID30115648	MPHPHYZQRGLTBO-UHFFFAOYSA-N	CCCC1C(=O)N2N(C1=O)c3cc(C)ccc3N=C2N(C)C
Azelastine		0.17	PMID30115648	MBUVEWMHONZEQD-UHFFFAOYSA-N	CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O
Azimilide		0.06	PMID30115648	MREBEPTUUMTTIA-PCLIKHOPSA-N	CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1
Azithromycin		0.88	PMID30115648	MQTOSJVFKKJCRP-BICOPXKESA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Azlocillin		0.65	PMID30115648	JTWOMNBEOCYFNV-NFFDBFGFSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O
Aztreonam		0.4	PMID30115648	WZPBZJONDBGPKJ-VEHQQRBSSA-N	C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O
Baclofen		0.69	PMID30115648	MSZRPURXKHMSFF-UHFFFAOYSA-N	c1cc(ccc1C(CC(=O)O)CN)C
Basimglurant		0.01	PMID30115648	UPZWINBEAHDTLA-UHFFFAOYSA-N	Cc1c(nc(n1c2ccc(cc2)F)C)C#Cc3ccnc(c3)Cl
Batanopride		0.46	PMID30115648	ZYOJXUNLLOBURP-GFCCVEGCSA-N	c1(c(cc(Cl)c(c1)N)C(NCCN(CC)CC)=O)O[C@@H](C(C)=O)C
Bazedoxifene		0.02	PMID30115648	UCJGJABZCDBEDK-UHFFFAOYSA-N	c1cc2n(c(c3ccc(cc3)O)c(c2cc1O)C)Cc1ccc(OCCN2CCCCCC2)cc1
BB 83698		0.2	PMID30115648	IBEANEPZNLVRRY-RCZVLFRGSA-N	CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N2CCN(Cc3ccc4OCOc4c3)CC2
Beclabuvir		0.01	PMID30115648	ZTTKEBYSXUCBSE-QDFUAKMASA-N	CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC
Beclomethasone dipropionate		0.13	PMID30115648	KUVIULQEHSCUHY-XYWKZLDCSA-N	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
Belinostat		0.06	PMID30115648	NCNRHFGMJRPRSK-MDZDMXLPSA-N	c1c(cccc1\C=C\C(NO)=O)S(=O)(=O)Nc1ccccc1
Bendamustine		0.05	PMID30115648	YTKUWDBFDASYHO-UHFFFAOYSA-N	c12n(C)c(CCCC(=O)O)nc1cc(N(CCCl)CCCl)cc2
Benzydamine		0.8	PMID30115648	CNBGNNVCVSKAQZ-UHFFFAOYSA-N	c1(OCCCN(C)C)c2c(n(n1)Cc1ccccc1)cccc2
Bepridil		0.001	PMID30115648	UIEATEWHFDRYRU-XMMPIXPASA-N	N(c1ccccc1)(C[C@@H](N1CCCC1)COCC(C)C)Cc1ccccc1
Betamethasone		0.36	PMID30115648	UREBDLICKHMUKA-DVTGEIKXSA-N	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
Betamipron		0.17	PMID30115648	CWXYHOHYCJXYFQ-UHFFFAOYSA-N	OC(=O)CCNC(=O)c1ccccc1
Betaxolol		0.4	PMID30115648	NWIUTZDMDHAVTP-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
Bevantolol		0.0149999999999999	PMID30115648	HXLAFSUPPDYFEO-UHFFFAOYSA-N	COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC
Biapenem		0.92	PMID30115648	MRMBZHPJVKCOMA-YJFSRANCSA-N	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)[O-])SC3C[n+]4cncn4C3
Bilastine		0.13	PMID30115648	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	C(C(C)(c1ccc(cc1)CCN1CCC(CC1)c1nc2c(n1CCOCC)cccc2)C)(=O)O
Bimatoprost		0.12	PMID30115648	AQOKCDNYWBIDND-SQXUUDCTSA-N	C(\[C@@H]1[C@H]([C@@H](O)C[C@H]1O)C\C=C/CCCC(=O)NCC)=C\[C@H](CCc1ccccc1)O
Biperiden		0.097	PMID30115648	YSXKPIUOCJLQIE-UHFFFAOYSA-N	OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
Bisoprolol		0.66	PMID30115648	VHYCDWMUTMEGQY-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
Bivalirudin		1.0	PMID30115648	OIRCOABEOLEUMC-GEJPAHFPSA-N	C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N
BLP1654		0.8	PMID30115648	GIPLLNWRTXVAHM-ZHSDAYTOSA-N	N12[C@@H](C(S[C@@H]2[C@@H](C1=O)NC(=O)[C@@H](c1ccccc1)NC(=O)NC(=N)N)(C)C)C(=O)O
BMS-214662		0.01	PMID30115648	OLCWFLWEHWLBTO-HSZRJFAPSA-N	O=S(=O)(N1Cc2cc(ccc2N(Cc3cnc[nH]3)C[C@H]1Cc4ccccc4)C#N)c5cccs5
Bortezomib		0.17	PMID30115648	GXJABQQUPOEUTA-RDJZCZTQSA-N	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O
Bosentan		0.0369999999999999	PMID30115648	GJPICJJJRGTNOD-UHFFFAOYSA-N	COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4
Brexpiprazole		0.002	PMID30115648	ZKIAIYBUSXZPLP-UHFFFAOYSA-N	c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4
Brivaracetam		0.825	PMID30115648	MSYKRHVOOPPJKU-BDAKNGLRSA-N	CCC[C@H]1CN([C@@H](CC)C(=O)N)C(=O)C1
Bromazepam		0.48	PMID30115648	VMIYHDSEFNYJSL-UHFFFAOYSA-N	Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1
Bromfenac		0.0011	PMID30115648	ZBPLOVFIXSTCRZ-UHFFFAOYSA-N	Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2
Bromopride		0.6	PMID30115648	GIYAQDDTCWHPPL-UHFFFAOYSA-N	CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
Bromotetrandrine		0.22	PMID30115648	ANJMFZGRGHQXMA-VMPREFPWSA-N	O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C
Brotizolam		0.0919999999999999	PMID30115648	UMSGKTJDUHERQW-UHFFFAOYSA-N	Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Br)sc4n12
Budesonide		0.13	PMID30115648	VOVIALXJUBGFJZ-KWVAZRHASA-N	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
Buflomedil		0.4	PMID30115648	OWYLAEYXIQKAOL-UHFFFAOYSA-N	COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
Bufuralol		0.19	PMID30115648	SSEBTPPFLLCUMN-UHFFFAOYSA-N	CCc1cccc2cc(oc12)C(O)CNC(C)(C)C
Bumetanide		0.031	PMID30115648	MAEIEVLCKWDQJH-UHFFFAOYSA-N	CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O
Bunazosin		0.06	PMID30115648	RHLJLALHBZGAFM-UHFFFAOYSA-N	CCCC(=O)N1CCCN(CC1)c2nc(N)c3cc(OC)c(OC)cc3n2
Bupivacaine		0.056	PMID30115648	LEBVLXFERQHONN-UHFFFAOYSA-N	CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C
Buprenorphine		0.04	PMID30115648	RMRJXGBAOAMLHD-IHFGGWKQSA-N	CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56
Busulphan		1.0	PMID30115648	COVZYZSDYWQREU-UHFFFAOYSA-N	CS(=O)(=O)OCCCCOS(=O)(=O)C
Butorphanol		0.17	PMID30115648	IFKLAQQSCNILHL-QHAWAJNXSA-N	Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1
Butylbiguanide		0.9	PMID30115648	XSEUMFJMFFMCIU-UHFFFAOYSA-N	CCCCNC(=N)NC(=N)N
Cabazitaxel		0.24	PMID30115648	BMQGVNUXMIRLCK-OAGWZNDDSA-N	C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C
Caffeine		0.64	PMID30115648	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C(=O)N(C)c2ncn(C)c2C1=O
Canagliflozin		0.01	PMID30115648	XTNGUQKDFGDXSJ-ZXGKGEBGSA-N	Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
Candesartan		0.002	PMID30115648	HTQMVQVXFRQIKW-UHFFFAOYSA-N	CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O
Candoxatrilat		0.8723436361917	PMID30115648	KIJQJNCPBKIGBI-PCKAHOCUSA-N	[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O
Cangrelor		0.02	PMID30115648	PAEBIVWUMLRPSK-IDTAVKCVSA-N	CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12
Captopril		0.73	PMID30115648	FAKRSMQSSFJEIM-RQJHMYQMSA-N	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
Carbazeran		0.08	PMID30115648	QJGVXJYGDBSPSJ-UHFFFAOYSA-N	c1(c(OC)cc2c(c1)c(nnc2)N1CCC(CC1)OC(NCC)=O)OC
Carbenicillin		0.52	PMID30115648	FPPNZSSZRUTDAP-UWFZAAFLSA-N	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Carboplatin		1.0	PMID30115648		N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1
Carebastine		0.05	PMID30115648	XGHOVGYJHWQGCC-UHFFFAOYSA-N	C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1
Carfilzomib		0.02	PMID30115648	BLMPQMFVWMYDKT-NZTKNTHTSA-N	C1O[C@]1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CN1CCOCC1)CCc1ccccc1)=O)CC(C)C)=O)Cc1ccccc1)=O)CC(C)C)=O)C
