Substance	Salts	Synonym	Blood-plasma concentration (mg/L) therapeutic (normal) upper limit	Unit
Dronabinol			0.05	
Droperidol			0.05	
Drotrecogin alfa			0.072	
Duloxetine			0.12	
Dyphylline			20	
Edrophonium			0.2	
Efavirenz		EFV	2	
Eletriptan			0.23	
Enfuvirtide			3.4	
Emetine			0.075	
Enalapril			0.1	
Endrin			0.003	
Enoxacin			4	
Enoximone			4	
Enprofylline			5	
Entacapone			7	
Ephedrine			0.2	
Epirubicin			0.05	
Eprosartan			1.85	
Eptastigmine			0.006	
Ergotamine			0.00042	
Erythromycin			12	
Escitalopram			0.08	
Esmolol			2	
Estazolam			0.2	
Eszopiclone			0.087	
Etamsylate		Ethamsylate	20	
Ethacrynic acid			0.1	
Ethadione			1000	
Ethambutol			6.5	
Ethchlorvynol			8	
Ethinamate			10	
Ethosuximide			60	
Ethylmorphine			0.6	
Etidocaine			1.5	
Etilefrine			0.06	
Etizolam			0.02	
Etodolac			20	
Etomidate			0.5	
Etoposide			14	
Etoricoxib			3.6	
Etravirine		ETR	2.98	
Everolimus			0.014	
Ezetimibe			0.015	
Famotidine			0.2	
Felbamate			110	
Felbinac			1	
Felodipine			0.012	
Fenbufen 			60	
Fendiline			0.15	
Fenfluramine			0.3	
Fenofibrate			30	
Fenoldopam			0.06	
Fenoprofen			60	
Fenoterol			0.04	
Fentanyl			0.3	
Fexofenadine			0.3	
Finasteride			0.01	
Flecainide			0.8	
Fleroxacin			4	
Flucloxacillin			40	
Fluconazole			15	
Flucytosine			50	
Flumazenil			0.1	
Flunarizine			0.2	
Flunitrazepam			0.015	
Fluoride			0.285	
5-Fluorouracil			0.3	
Fluoxetine			0.5	
Flupenthixol			0.01	
Fluphenazine			0.01	
Flupirtine			1.5	
Flurazepam			0.1	
Flurbiprofen			15	
Fluspirilen			0.0022	
Flutamide60			1.5	
Fluvastatin			0.4	
Fluvoxamine			0.23	
Fosamprenavir		FPV	0.4	
Frovatriptan			0.008	
Furosemide		Frusemide	10	
Fusidinic acid			200	
Gabapentin			30	
Galantamine		Galanthamine	0.06	
Gallopamil			0.1	
Ganciclovir			5	
Gemcitabine			20	umol/L
Gemfibrozil			25	
Gentamicin			10	
Glibenclamide		 Glyburide	0.2	
Glicazide			3.7	
Glimepiride			0.5	
Glipizide			1.5	
Glutethimide			5	
Gold		Sodium aurothiomalate	8	
Granisetron			0.017	
Griseofulvin			1.3	
Guaifenesin			1.4	
Guanethidine			0.01	
Haloperidol			0.02	
Halothan			260	
Hematin			100	
Heptabarb		Heptabarbital	4	
Heptaminol			1.5	
Hexachlorobenzene		HBC	0.0001	
beta-Hexachlorocyclohexane		"beta-HCH, beta-lindane"	0.0001	
Hexachlorophene			0.65	
n-Hexane			0.01	
Hexapropymate			5	
Hexobarbital			5	
Hydralazine			1.5	
Hydrochlorothiazide			2	
Hydrocodone			0.05	
Hydromorphone			0.015	
4-Hydroxybutyrate		"GHB, Sodium oxybate"	120	
Hydroxychloroquine			0.4	
Hydroxyzine			0.1	
Ibuprofen			30	
Idebenone			0.2	
Iloperidone			0.01	
Iloprost			0.0001	
Imatinib			2.3	
Imipenem			75	
Imipramine			0.35	
Indinavir		IDV	0.1	
Indometacin		Indomethacin	3	
Indoramin			0.1	
Iproniazid			5	
Irbesartan			3.3	
Iridium			0.02	
Iron			2	
Isoniazid		INH	10	
Isosorbid mononitrate		ISMN	1	
Isotretinoin			0.002	
Isoxicam			15	
Isradipine			0.01	
Itraconazole			2	
Ivermectin			0.05	
Kanamycin			25	
Kavain			0.05	
Ketamine			6	
Ketanserin 			0.5	
Ketazolam			0.02	
Ketobemidone			0.05	
Ketoconazole			6	
Ketoprofen			20	
Ketorolac			3	
Ketotifen			0.004	
Labetalol			0.65	
Lacidipine			0.006	
Lacosamide			10	
Lamotrigine			14	
Lead			0.09	
Leflunomide			63	
Levacetylmethadol		LAAM	0.06	
Levamisole			0.7	
Levetiracetam			40	
Levocabastine			0.01	
Levocetiricine			0.5	
Levodopa		L-Dopa	2	
Levomepromazine			0.2	
Levomethadone			0.4	
Levorphanol			0.02	
Levothyroxine		Thyroxine	0.14	
Lidocaine		Lignocaine	5	
Linezolide			4	
Lisinopril			0.07	
Lithium			8	
Lofepramine			0.01	
Lopinavir		LPV	1	
Loprazolam			0.01	
Loratadine			0.02	
Lorazepam			0.25	
Lorcainide			0.9	
Lormetazepam			0.025	
Lornoxicam			0.8	
Losartan			0.65	
Loxapine			0.1	
Lysergide		"lysergic acid diethyl amide, LSD"	0.005	
Magnesium			75	
Manganese			0.0015	
Maprotiline			0.13	
Maraviroc		MVC	0.05	
Mebendazole			0.1	
Medazepam			1	
Mefenamic acid			20	
Mefloquine			1	
Melatonin			0.1	
Melitracen			0.1	
Meloxicam			2	
Melperone			0.1	
Melphalan			1.5	
Memantine			0.15	
Mephenesin			10	
Mepindolol			0.07	
Mepivacaine			4	
Meprobamate			10	
Meptazinol			0.25	
Mercaptopurine			0.08	
Mercury			0.005	
Mescaline			3.8	
Mesalazine		Mesalamine	1	
Mesoridazine			1	
Metaclazepam			0.2	
Metamizole 		Dipyrone	10	
Metformin			1.3	
Methadone			0.75	
Methamphetamine		"Methylamphetamine, Selegiline"	0.1	
Methanol			2	
Methapyrilene			0.1	
Methaqualone			3	
Methimazole			2.5	
Methocarbamol			50	
Methohexital			11	
Methotrexate			0.04	
Methoxsalen		8-Methoxypsoralene	0.2	
Methsuximide 		Mesuximide	40	
Methyldopa			5	
"3,4-Methylenedioxyamphetamine"		MDA	0.4	
"3,4-Methylenedioxyethylamphetamine"		"MDEA, MDE; Eve"	0.2	
"3,4-Methylenedioxymethylamphetamine"		"MDMA; Ecstasy, XTC; Adam"	0.35	
Methylphenidate			0.06	
Methyprylon		Methyprylone	20	
Metiamide			0.06	
Metildigoxin			0.0008	
Metipranolol			0.08	
Metoclopramide			0.15	
Metocurine			0.4	
Metoprolol			0.5	
Metrifonate			3.6	
Metronidazole			20	
Mexiletine			2	
Mianserin			0.07	
Mibefradil			0.3	
Miconazole			1	
Midazolam			0.25	
Milnacipran			0.11	
Milrinone			0.25	
Minaprine			0.1	
Minoxidil			0.2	
Mirtazapine			0.3	
Mitotane			20	
Mizolastine			0.8	
Moclobemide			3	
Modafinil			3	
Moexiprilat			0.04	
Molindone			0.5	
Molsidomine			0.01	
Molybdenum			0.005	
Montelukast			0.3	
Moricicine			1.27	
Morphine			0.1	
Moxonidine			0.004	
Muromonab-CD3 		OKT 3	1.3	
Nadolol			0.25	
Naftidrofuryl		Nafronyl	0.5	
Nalbuphine			0.2	
Nalidixic acid			30	
Nalmefene			0.1	
Naloxone			0.03	
Naltrexone			0.05	
Naproxen			100	
Naratriptan			0.05	
Nebivolol			0.2	
Nedocromil			0.025	
Nefazodone			0.3	
Nefopam			0.1	
Nelfinavir		NFV	0.8	
Neostigmine			0.01	
Netilmicin			12	
Nevirapine		NVP	3	
Nicardipine			0.1	
Nickel			0.003	
Nicotine			0.03	
Nicotinic acid			18	
Nifedipine			0.15	
Niflumic acid			35	
Nilvadipine			0.01	
Nimesulide			6.5	
Nimodipine			0.05	
Nimustine			0.0005	
Nisoldipine			0.001	
Nitrazepam			0.1	
Nitrendipine			0.05	
Nitrofurantoin			5	
Nitroglycerin		Glyceryl trinitrate	0.015	
Nizatidine			1	
Nomifensine			0.1	
Nordazepam			0.8	
Norfenefrine			0.4	
Norfloxacin			5	
Normesuximide			30	
Nortriptyline			0.15	
Noscapine			0.4	
Obidoxime			15	
Ofloxacin			5.5	
Olanzapine			0.08	
Omeprazole			4	
Ondansetron			0.3	
Opipramol			0.5	
Orphenadrine			0.6	
Oxatomide			0.1	
Oxazepam			1.5	
Oxcarbazepine			35	
Oxibutynin			0.02	
N-Desethyloxibutynin			0.08	
Oxprenolol			1	
Oxycodone			0.1	
Oxyfedrine			0.06	
Oxyphenbutazone			100	
Oxypurinol			15	
Oxytocin			0.0002	
Paclitaxel		Taxol	6.8	
Paliperidone			0.06	
Pamidronate		Pamidronic acid	0.25	
Pancuronium			0.6	
Pantoprazole			6	
Papaverine			2	
Paracetamol			25	
Paraldehyde			100	
Paroxetine			0.12	
Pefloxacin			6	
Pemoline			7	
Penbutolol			1	
Penfluridol			0.025	
(D-)Penicillamine			11	
Pentachlorophenol			0.2	
Pentamidine			0.5	
Pentazocine			0.2	
Pentobarbital			10	
Pentoxifylline			2	
Pentoxyverine			0.18	
Perazine			0.44	
Perhexiline			0.6	
Periciazine		Pericyazine	0.03	
Perindopril			0.15	
Perphenazine			0.0024	
Pethidine			0.8	
Phenacetin			20	
Phenazepam			0.4	
Phenazone		Antipyrine	25	
Phencyclidine		PCP	0.2	
Phendimetrazine			0.1	
Phenelzine			0.04	
Phenformin			0.1	
Pheniramine			0.27	
Phenmetrazine			0.25	
Phenobarbital			40	
Phenprocoumon			5	
Phensuximide			20	
Phentermine			0.1	
Phenylbutazone			100	
Phenylephrine			0.1	
Phenylpropanolamine		Norephedrine	0.5	
Phenytoin			20	
Pholcodine			0.2	
Physostigmine			0.005	
Pimozide			0.02	
Pinazepam			0.05	
Pindolol			0.15	
Pipamperone			0.4	
Piperacilline			70	
Piperazine			0.1	
Pipotiazine			0.06	
Piracetam			50	
Pirenzepine			0.45	
Piritramide			0.014	
Pirmenol			4	
Piroxicam			6	
Pizotifen			0.009	
Posaconazol			0.7	
Practolol			5	
Prajmalium			0.44	
Pramipexole			0.007	
Pranlukast			1.2	
Prazepam			0.7	
Praziquantel			0.2	
Prazosin			0.02	
Prednisolone			1	
Pregabalin			8	
Prilocaine			2	
Primaquine			0.2	
Primidone			15	
Probenecid			150	
Procaine			15	
Procainamide			12	
N-Acetylprocainamide			40	
Prochlorperazine			0.05	
Procyclidine			0.63	
Proguanil			0.15	
Promazine			0.4	
Promethazine			0.4	
Propafenone			2	
Propallylonal			10	
Propantheline			0.02	
Propiomazine			0.3	
Propofol			8	
Propranolol			0.3	
Propylene glycol			0.5	
Propylhexedrine			0.01	
Propyphenazone			12	
Prothipendyl			0.01	
Protriptyline			0.3	
Pseudoephedrine			0.8	
Psilocin		Psilocybin	0.008	
Pyrazinamide			75	
Pyridostigmine			0.2	
Pyridoxine			0.018	
Pyrimethamine			1.5	
Pyrithyldione			10	
Quazepam			0.15	
Quetiapine			0.5	
Quinidine			5	
Quinine			7	
Rabeprazole			0.6	
Ramipril			0.04	
Ranitidine			1	
Raltegravir		RAL	0.118	
Reboxetine			0.35	
Recainam			5.7	
Remacemide			1	
Remifentanil			0.02	
Remoxipride			2.15	
Retinol		Vitamin A	0.8	
Rifabutin 			0.15	
Rifampicin		Rifampin	10	
Riluzole			0.5	
Risperidone			0.02	
Ritonavir			20	
Rivastigmine			0.02	
Rizatriptan			0.1	
Rocuronium			17	
Ropinirole			0.006	
Rosiglitazone			0.3	
Roxatidine			0.8	
Roxithromycin			12	
Rufinamid			30	
Salbutamol 		Albuterol	0.02	
Salicylamide			40	
Salicylic acid			200	
Saquinavir		SQV	0.25	
Scopolamine			0.001	
Secbutabarbital			15	
Secobarbital			5	
Selenium			0.19	
Seratrodast			25	
Sertindole			0.1	
Sertraline			0.25	
Sevoflurane			134	
Sibutramine			0.01	
Sildenafil			0.5	
Silver			0.005	
Simvastatin			0.0056	
Sirolimus			0.03	
Sisomicin			10	
Sitagliptin			0.38	
Sotalol			4	
Sparteine			1	
Spiramycin			3	
Spiraprilate			0.045	
Spironolactone			0.5	
Stiripentol			10	
Streptomycin			40	
Strontium			0.03	
Sufentanil			0.01	
Sulbactam			80	
Sulfamethoxazole			200	
Sulfasalazine			70	
Sulfisoxazole			100	
Sulfinpyrazone			17	
Sulindac 			5	
Sulpiride			1	
Sultiam		Sulthiame	8	
Sumatriptan			0.06	
Suramin			200	
Tacrine			0.01	
Tacrolimus		FK-506	0.02	
Tadalafil			0.48	
Talinolol			0.15	
Talipexole			0.001	
Tamoxifen			0.5	
Tapentadol			0.13	
Teicoplanin			40	
Temazepam			0.9	
Tenoxicam			10	
Terazosin			0.08	
Terbinafine			3	
Terbutaline			0.01	
Terfenadine			0.01	
Tetracycline			10	
Tetrazepam			1	
Thalidomide			8	
Theobromine			15	
Theophylline			20	
Thiamphenicol			15	
Thiamylal			5	
Thiazinamium			0.15	
Thiocyanate			12	
Thiocyanate from Nitroprusside		Sodium nitroprusside	30	
Thiopental			5	
Thioproperazine			0.02	
Thioridazine			1.25	
Tiagabine			0.2	
Tiapride			2	
Tiaprofenic acid			40	
Ticlopidine			2	
Tilidine			0.12	
Tiludronate		Tiludronic acid	1.5	
Timolol			0.1	
Tin			0.14	
Tinidazol			60	
Tiopronin			5	
Tiotixene		Thiothixene	0.014	
Tiotropium			0.000016	
Tipranavir		TPV	20.5	
Tizanidine			0.015	
Tobramycin			10	
Tocainide			10	
Tofenacine			0.1	
Tolbutamide			100	
Tolcapone			6	
Tolmetin			80	
Tolperisone			0.3	
Topiramate			29	
Topotecan			0.01	
Tramadol			2	
Tranexamic acid			50	
Tranylcypromine			0.05	
Trapidil			10	
Trazodone			1	
Triamterene			0.1	
Triazolam			0.02	
"2,2,2-Trichloroethanol"			15	
Trifluoperazine			0.05	
Triflupromazine			0.1	
Trihexyphenidyl			0.2	
Trimethadione			40	
Trimethobenzamide			2	
Trimethoprim			10	
Trimipramine			0.3	
Tripelenamine			0.06	
Triprolidine			0.045	
Tropisetron			0.05	
Tubocurarine			6	
Tungsten			0.035	
Urapidil			0.2	
Valnoctamide			25	
Valproic acid		Sodium valproate	150	
Valsartan			6	
Vanadium			0.05	
Vancomycin			40	
Varenicline			0.005	
Vecuronium 			0.5	
Venlafaxine			0.4	
Verapamil			0.4	
Vigabatrin			45	
Viloxazine			8	
Vincamine			0.25	
Vinylbital			3	
Viquidil			0.25	
Vitamin D			0.09	
Voriconazole			6	
Warfarin			7	
Xamoterol			0.1	
Xipamide			20	
Xylene			1.5	
Yohimbine			0.3	
Zafirlukast			0.03	
Zalcitabine			0.1	
Zaleplon			0.1	
Zanoterone			0.5	
Zidovudine			1	
Zinc			1.3	
Zipeprol			0.7	
Ziprasidone			0.2	
Zolmitriptan			0.01	
Zolpidem			0.15	
Zomepirac			4	
Zonisamide			40	
Zopiclone			0.05	
Zotepine			0.15	
Zuclopenthixol			0.1	
