molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration
1279	CHEMBL24	ATENOLOL	7.509198768491402e-06	5.124406399745029	7.058646842381917e-06	5.15127854614533
1280	CHEMBL25	ASPIRIN	3.8576820603907645e-05	4.413673568581138	2.62322380106572e-05	4.581164655874902
1325	CHEMBL422	TRIFLUOPERAZINE	1.2269637554906628e-07	6.91116826614251	9.938406419474395e-10	9.002683247263858
1333	CHEMBL26	SULPIRIDE	2.928858038250886e-06	5.533301678061803	2.518817912895762e-06	5.598803226818235
1354	CHEMBL423	BETAXOLOL	1.6263864944865498e-07	6.788776240736422	6.5055459779462e-08	7.18671624940846
1362	CHEMBL424	SALICYLIC ACID	0.00024688676513176955	3.6075021906849187	1.2344338256588479e-05	4.9085321863489
1370	CHEMBL27	PROPRANOLOL	1.1567379988432618e-06	5.9367649976099415	1.5037593984962403e-07	6.8228216453031045
1380	CHEMBL6995	PRACTOLOL	1.8772996921228507e-05	4.726466391072991	1.3141097844859954e-05	4.881368351058734
1615	CHEMBL29	BENZYLPENICILLIN	0.0001345693779904306	3.8710537549916353	5.382775119617224e-05	4.268993763663673
1620	CHEMBL30	CIMETIDINE	1.3875500297206264e-05	4.857751348933295	1.103102273627898e-05	4.9573842202768255
1712	CHEMBL31	GATIFLOXACIN	9.057005860415556e-06	5.043015351243072	7.245604688332445e-06	5.139925364251129
1785	CHEMBL429	LABETALOL	1.9792332754788224e-06	5.703503016161117	9.896166377394112e-07	6.004533011825099
1788	CHEMBL32	MOXIFLOXACIN	1.0213232363491433e-05	4.9908367872507995	6.127939418094858e-06	5.2126855368671565
1795	CHEMBL33	LEVOFLOXACIN	1.9370728062650478e-05	4.712854055705808	1.4528046046987856e-05	4.837792792314108
2045	CHEMBL435	HYDROCHLOROTHIAZIDE	6.717044500419815e-06	5.172821774490834	2.3513014273719563e-06	5.628691692502869
2046	CHEMBL35	FUROSEMIDE	3.0234315948601665e-05	4.519499852859538	3.779289493575204e-07	6.422589839851483
2080	CHEMBL36	PYRIMETHAMINE	6.0308780958507565e-06	5.219619449979454	5.729334191058219e-07	6.241895844690607
2166	CHEMBL441	THIOPENTAL	2.063216967896344e-05	4.685455099217613	2.888503755054882e-06	5.539327063539375
2203	CHEMBL442	ERGOTAMINE	7.220588993759349e-10	9.141427374964097	1.4441177987518698e-11	10.840397379300116
2216	CHEMBL7413	METHOHEXITAL	4.193511494033776e-05	4.377422162283197	1.1322481033891196e-05	4.94605839812421
2217	CHEMBL40	PHENOBARBITAL	9.795900792283844e-05	4.008955621830486	4.799991388219083e-05	4.318759541801972
2223	CHEMBL41	FLUOXETINE	1.6163967284130218e-06	5.791452037240531	8.308279184042933e-08	7.080488918245256
2247	CHEMBL443	SULFAMETHOXAZOLE	0.0004737839545167404	3.324419651470656	0.00010897030953885029	3.962691815453063
2261	CHEMBL42	CLOZAPINE	1.0708931248661384e-06	5.970253869594787	5.889912186763761e-08	7.229891180100543
2262	CHEMBL445	NORTRIPTYLINE	5.695193256891185e-07	6.244491534275417	6.834231908269421e-08	7.165310288227793
2327	CHEMBL448	PENTOBARBITAL	4.4193035177656e-05	4.354646170068372	1.7235283719285838e-05	4.763581563041872
2366	CHEMBL267894	AMOBARBITAL	2.2096517588828e-05	4.655676165732353	8.643052854870073e-06	5.063332831150309
2431	CHEMBL451	CHLORDIAZEPOXIDE	1.00080064051241e-05	4.9996524253660795	4.803843074459567e-07	6.318411187990492
2465	CHEMBL452	CLONAZEPAM	2.533890789306981e-07	6.596212107141384	3.71215000633473e-08	7.430374482451255
2484	CHEMBL453	SULFISOXAZOLE	0.00037409748980584345	3.4270152059079915	2.955370169466163e-05	4.52938811461755
2580	CHEMBL43	AMSACRINE	1.3978194017332959e-05	4.854548935812951	4.0536762650265577e-07	6.3921509379139945
2994	CHEMBL457	GEMFIBROZIL	9.986418470879605e-05	4.00059023922363	4.993209235439801e-07	6.301620234887611
3012	CHEMBL45	MELATONIN	4.3051489581539524e-07	6.3660118173612865	1.6790080936800414e-07	6.774947210334787
3183	CHEMBL46	ONDANSETRON	5.762997238981491e-07	6.239351588486558	1.5560092545250026e-07	6.80798782432757
3599	CHEMBL49	BUSPIRONE	1.0375865736297372e-08	7.983975656658212	2.525485720214781e-09	8.597655082764167
3683	CHEMBL51	KETANSERIN	1.264446298965683e-06	5.898099610414565	6.954454644311257e-08	7.157736920920321
3730	CHEMBL459	METHYLDOPA	2.3672000757504024e-05	4.62576503395	2.0121200643878417e-05	4.696346108235707
3859	CHEMBL54	HALOPERIDOL	5.320988639689255e-08	7.274007668293007	4.256790911751404e-09	8.370917681301062
3965	CHEMBL55	PENTAMIDINE	1.1843653614546308e-06	5.926514302691971	1.0659288253091677e-07	6.972271793252646
4345	CHEMBL57	NEVIRAPINE	1.1265490048817125e-05	4.948249911719278	3.60495681562148e-06	5.443099933399373
4496	CHEMBL465	DRONABINOL	1.5899767863389193e-07	6.798609216332697	7.949883931694598e-09	8.09963921199668
4941	CHEMBL64	ISONIAZID	3.835496572845269e-05	4.416178400975617	3.835496572845269e-05	4.416178400975617
5028	CHEMBL468	THALIDOMIDE	3.09801339890795e-05	4.508916708249116	1.23920535956318e-05	4.906856716921154
5080	CHEMBL469	KETOROLAC	1.1752262310494769e-05	4.929878523656783	7.991538371136442e-08	7.0973696109505475
5528	CHEMBL471	SOTALOL	1.4685905202481918e-05	4.833099279490037	1.2115871792047581e-05	4.916645330940112
5582	CHEMBL472	GLYBURIDE	4.048501042489019e-07	6.392705744556959	8.50185218922694e-09	8.07048644982304
5638	CHEMBL473	DOFETILIDE			1.6e-09	8.795880017344075
5970	CHEMBL479	THIORIDAZINE	3.3729998111120108e-06	5.471983683131289	5.935e-07	6.22657927670939
6005	CHEMBL70	MORPHINE	3.50459101422864e-07	6.455362656906286	2.277984159248616e-07	6.642449300263431
6167	CHEMBL485	CODEINE	8.350870160670742e-07	6.078268268673513	5.845609112469521e-07	6.233170228659256
6216	CHEMBL71	CHLORPROMAZINE	1.568037131119265e-06	5.8046436574364835	4.704111393357794e-08	7.327522402716821
6243	CHEMBL72	DESIPRAMINE	9.3847366642892e-07	6.027577909174826	1.3987949998123038e-07	6.8542459288061774
6579	CHEMBL76	CHLOROQUINE	9.253470051269224e-07	6.033695376286286	3.978992122045765e-07	6.4002269207067
6643	CHEMBL490	PAROXETINE	1.0322737347056506e-07	6.986205122758719	6.193642408233902e-09	8.208053872375075
6706	CHEMBL416146	ETORICOXIB	1.0032046816218477e-05	4.998610449801047	8.125957921136969e-07	6.090125430922398
6723	CHEMBL79	LIDOCAINE	1.344200733976274e-07	6.871535871796601	4.435862422121704e-08	7.353021931918713
6772	CHEMBL9967	PIRENZEPINE	1.2805554765089212e-06	5.892601602185939	9.728379955038276e-07	6.011959475781655
6902	CHEMBL80	NALOXONE	9.163663021565155e-08	7.037930889644752	4.9483780316451844e-08	7.305537129821783
6968	CHEMBL83	TAMOXIFEN	1.3458225667527997e-06	5.871012193722461	1.8574935400516818e-08	7.731072687944122
7065	CHEMBL493	BROMOCRIPTINE	6.110508547073829e-09	8.213922644095057	1.2221017094147658e-11	10.912892648431075
7494	CHEMBL494	ILOPROST	2.774002052761519e-10	9.556893221884698	1.1096008211046076e-10	9.954833230556735
7501	CHEMBL84	TOPOTECAN	2.372760707082691e-08	7.624746058172765	1.542294459603749e-08	7.81183270152991
7714	CHEMBL85	RISPERIDONE	4.8722258763916305e-08	7.312272586016282	5.115837170211212e-09	8.291083286946344
7736	CHEMBL86	METOCLOPRAMIDE	5.003335557038025e-07	6.300740369456579	3.0020013342228145e-07	6.5225891190729355
8062	CHEMBL428647	PACLITAXEL	7.963275248266818e-06	5.098908272753276	7.565111485853477e-07	6.121184667464428
8417	CHEMBL88	CYCLOPHOSPHAMIDE	9.575242253629019e-05	4.018850229569951	8.330460760657245e-05	4.079330976951333
8516	CHEMBL498	CHLORPROPAMIDE	0.0005420054200542005	3.265996370495079	2.168021680216802e-05	4.663936379167117
8531	CHEMBL499	TIMOLOL	3.1602566128369626e-07	6.500277651237841	2.844230951553266e-07	6.546035141798516
8543	CHEMBL500	PINDOLOL	6.040349534893085e-07	6.218937929477692	3.503402730237989e-07	6.455509935914755
8788	CHEMBL276832	HYDRALAZINE	9.364464976900984e-06	5.028517030271354	1.123735797228118e-06	5.94933578422373
8873	CHEMBL267345	AMPHOTERICIN B	3.1382224675085753e-06	5.503316272671726	1.25528898700343e-07	6.9012562813437635
8917	CHEMBL91	MICONAZOLE	2.403037439323305e-06	5.6192394628353615	1.922429951458644e-07	6.716149475843418
9277	CHEMBL94	PHYSOSTIGMINE	1.815870710005448e-08	7.740915076481283	1.1621572544034868e-08	7.934735102497395
9333	CHEMBL95	TACRINE	1.1021813688404698e-07	6.957746934517374	4.9598161597821144e-08	7.30453442074203
9372	CHEMBL502	DONEPEZIL	1.976284584980237e-07	6.704150516839799	2.0770750988142245e-08	7.682547800811558
10358	CHEMBL505	CHLORPHENIRAMINE			8.75e-09	8.057991946977687
10389	CHEMBL506	PRIMAQUINE	7.71158665895508e-07	6.112856256665623	3.1108540582224783e-07	6.507120362788876
10813	CHEMBL12713	SERTINDOLE	2.267830819820841e-07	6.644389346939082	1.1339154099104204e-09	8.945419342603063
11002	CHEMBL515	CHLORAMBUCIL	3.28709486555782e-06	5.483187761998763	3.2870948655578196e-08	7.483187761998763
11066	CHEMBL12856	INAMRINONE	2.136752136752137e-05	4.670245853074124	1.901709401709402e-05	4.720855846429211
11143	CHEMBL517	DISOPYRAMIDE	1.4284885707552732e-05	4.845123230029418	2.285581713208437e-06	5.641003247373493
11474	CHEMBL267648	PEFLOXACIN	1.7998560115190783e-05	4.7447622370655775	1.3498920086393085e-05	4.869700973673878
11674	CHEMBL521	IBUPROFEN	0.00014543339150668993	3.837335868015015	8.726003490401394e-07	6.059184617631371
11715	CHEMBL13280	FLUNITRAZEPAM	4.7878961984104185e-08	7.319855273667932	8.139423537297711e-09	8.089406352289657
11745	CHEMBL13209	NITRAZEPAM	3.555302734027803e-07	6.4491234131845605	4.621893554236143e-08	7.335180060877724
11819	CHEMBL526	PROPOFOL	4.487575026644976e-05	4.347988277492059	8.077635047960958e-07	6.092715772388752
11968	CHEMBL527	PIROXICAM	1.810774105930285e-05	4.7421357245434725	1.2675418741512046e-07	6.897037684529214
12105	CHEMBL528	CEFTIZOXIME	0.00041730784277927015	3.3795434531896733	0.0003004616468010744	3.5222109567584052
12417	CHEMBL101	PHENYLBUTAZONE	0.0003242752448278099	3.4890862041023505	7.1340553862118274e-06	5.146663523280144
12428	CHEMBL529	AZITHROMYCIN	1.1775033377837116e-06	5.929037853134104	1.0362029372496662e-06	5.984555180983935
12506	CHEMBL532	ERYTHROMYCIN	9.537564378559556e-06	5.020562517539417	9.537564378559557e-07	6.020562517539417
12608	CHEMBL533	IBUTILIDE			1.0517500000000001e-07	6.978087479310966
13756	CHEMBL546	OXPRENOLOL	3.768607499528924e-06	5.423819091965404	7.160354249104955e-07	6.145065491012575
13758	CHEMBL106	FLUCONAZOLE	4.8974794305863924e-05	4.310027379366219	4.35875669322189e-05	4.360637372721307
13928	CHEMBL547	ISOTRETINOIN	1.9082013047530287e-06	5.719375811533495	1.9082013047529203e-09	8.719375811533519
14263	CHEMBL14370	REBOXETINE	1.116783663050415e-06	5.952030947782296	2.1218889597957894e-08	7.673277346829466
14367	CHEMBL549	CITALOPRAM	3.390875462392109e-07	6.469688160380893	6.781750924784218e-08	7.168658164716912
14440	CHEMBL107	COLCHICINE	6.258762267174044e-09	8.203511544375015	3.8178449829761665e-09	8.418181709364248
14805	CHEMBL554	LAPATINIB	9.035056017347306e-07	6.044069150468914	2.3491145645103454e-09	8.629095802498089
15086	CHEMBL108	CARBAMAZEPINE	5.078935116603885e-05	4.29422733524797	1.3819782452279172e-05	4.859498793468212
15191	CHEMBL15245	YOHIMBINE	8.463817181548877e-07	6.072433725968388	1.6927634363097757e-07	6.771403730304407
15217	CHEMBL109	VALPROIC ACID	0.0007454406767907909	3.1275869125966853	5.963525414326328e-05	4.2244969256047415
15958	CHEMBL558	MEXILETINE	1.1156978690170704e-05	4.952453396423033	4.072297221912307e-06	5.390160531966559
16088	CHEMBL111	RIMONABANT	4e-07	6.3979400086720375	1.9999999999999996e-10	9.698970004336019
16225	CHEMBL273575	NOMIFENSINE	4.195862879201108e-07	6.3771787129902435	1.6783451516804433e-07	6.775118721662282
16308	CHEMBL563	FLURBIPROFEN	6.140997297961189e-05	4.211761093707362	6.140997297961189e-07	6.211761093707362
16391	CHEMBL564	PROMAZINE	1.4063214147593432e-06	5.851915409967919	1.5469535562352775e-07	6.810522724809694
16415	CHEMBL565	CLOFIBRATE	0.0010300782859497322	2.987129767659897	3.605274000824063e-05	4.443061723309621
16450	CHEMBL112	ACETAMINOPHEN	0.00011709446943635879	3.9314636168831703	7.33948134427097e-05	4.134334629086617
16456	CHEMBL277522	FENBUFEN	0.00023596035865974517	3.627160952374776	3.5394053798961775e-06	5.451069693319095
16485	CHEMBL113	CAFFEINE	5.149595756733096e-05	4.288226861737593	3.295741284309181e-05	4.482046887753706
16498	CHEMBL16073	PHENACETIN	0.00011159468809284678	3.9523564773237907	6.252650373842205e-05	4.203935854856223
16505	CHEMBL567	PERPHENAZINE	5.940888162780335e-09	8.226148623139983	4.158621713946235e-10	9.381050583125726
16506	CHEMBL568	OXAZEPAM	5.2315848214285715e-06	5.28136672892635	2.0926339285714287e-07	6.679306737598387
16510	CHEMBL15770	SULINDAC	1.4028393468379999e-05	4.8529920615280755	9.118455754447e-07	6.040078704885221
16581	CHEMBL569	PROCAINE	6.347594261774788e-05	4.197390841133298	5.9667386060683005e-05	4.224262987533599
16591	CHEMBL571	KETOPROFEN	7.86503598253962e-05	4.104299286138895	6.292028786031695e-07	6.201209299146951
16592	CHEMBL572	NITROFURANTOIN	2.0994289553241517e-05	4.6778988173026494	3.569029224051058e-06	5.447449895924375
16656	CHEMBL573	NIACIN	0.00014621070587279668	3.835020826206804	8.064982535943464e-05	4.093396568702992
16847	CHEMBL578	ENALAPRIL	2.6563952716164175e-07	6.575707301476683	1.328197635808209e-07	6.876737297140664
16959	CHEMBL580	LORAZEPAM	7.784281977830365e-07	6.108781440571449	7.005853780047326e-08	7.154538931132125
16960	CHEMBL277062	BROMAZEPAM	6.325910931174089e-07	6.198876927243553	2.783400809716599e-07	6.5554242507573655
17136	CHEMBL583	GREPAFLOXACIN			1.9825e-06	5.702786804010358
17169	CHEMBL114	SAQUINAVIR	4.948871597650778e-07	6.30549381415311	1.3856840473422182e-08	7.85833578281089
17170	CHEMBL115	INDINAVIR	7.119582926034537e-06	5.147545447125382	2.6385174323883984e-06	5.578640032142504
17224	CHEMBL584	NELFINAVIR	0.0007731595632264884	3.111730867947717	1.8555829517435723e-05	4.7315196262361106
17347	CHEMBL116	AMPRENAVIR	1.2063918993750494e-05	4.918511587645162	1.1098805474250452e-05	4.954723760299608
17411	CHEMBL585	TRIAMTERENE	3.948355509930114e-07	6.403583750366688	1.658309314170648e-07	6.780334459968787
19278	CHEMBL588	FENOLDOPAM	1.96232339089482e-07	6.707229419327294	2.354788069073784e-08	7.628048173279669
19316	CHEMBL589	ROPINIROLE	2.3043244488824032e-08	7.637456372280504	1.382594669329442e-08	7.85930512189686
19569	CHEMBL17157	TERFENADINE	2.120036464627192e-08	7.673656669141918	2.425e-10	9.615288257061717
19572	CHEMBL592	LEVORPHANOL	7.77061154712876e-08	7.109544800878346	4.662366928277256e-08	7.331393550494703
19915	CHEMBL596	FENTANYL	5.082025677603424e-09	8.293963144950093	8.131241084165479e-10	9.089843162294168
20027	CHEMBL121	ROSIGLITAZONE	8.393017009847806e-07	6.076081896715853	1.6786034019695613e-09	8.77505190105187
20496	CHEMBL599	MELOXICAM	4.624228109615548e-06	5.33496075064639	8.323610597308302e-09	8.079688245543068
21459	CHEMBL19019	NALTREXONE	1.4645148062446912e-07	6.834306233242975	1.156966696933306e-07	6.936679141952534
21523	CHEMBL603	ZAFIRLUKAST	8.051208115478814e-07	6.0941389471453	8.051208115478815e-09	8.0941389471453
21698	CHEMBL19236	MOXONIDINE	1.6550810989738497e-08	7.781180720937262	1.5392254220456803e-08	7.812697772383326
21716	CHEMBL19224	PAPAVERINE	5.8929255428857665e-06	5.229669046180963	4.3018356463066083e-07	6.366346186060508
22528	CHEMBL607	MEPERIDINE	3.234414166734051e-06	5.490204369460385	1.3584539500283013e-06	5.866955079062485
23001	CHEMBL19490	ZOMEPIRAC	1.3711308401604225e-05	4.862921100682098	2.0566962602406337e-07	6.686829841626417
23093	CHEMBL611	TERAZOSIN	2.0648358455502788e-07	6.685114469046539	1.651868676440223e-08	7.782024482054596
24991	CHEMBL617	CEPHALOTHIN	7.567158531971244e-05	4.1210671674677295	2.2096102913356046e-05	4.65568431601931
26280	CHEMBL126	LINEZOLID	4.3574922187638955e-05	4.360763379743137	3.0066696309470877e-05	4.521914289005882
26386	CHEMBL127	MEROPENEM	0.00014759955146426056	3.8309149622751217	0.00012841160977390668	3.8913957096565035
26401	CHEMBL621	TRAZODONE	2.68911178637696e-06	5.570391143779831	2.0706160755102594e-07	6.683900418607349
26431	CHEMBL622	ETODOLAC	6.959910913140311e-05	4.1573963193232295	6.263919821826369e-07	6.203153809883898
26465	CHEMBL623	NEFAZODONE	6.382707118846006e-07	6.194995083439113	6.382707118846005e-09	8.194995083439112
26820	CHEMBL277474	ANTIPYRINE	0.00013281623545662225	3.8767488335655207	0.0001235190989746587	3.9082658850115854
27028	CHEMBL22097	LORMETAZEPAM	7.458456397863898e-08	7.127351044813643	8.950147677436675e-09	8.048169798766018
27029	CHEMBL628	PENTOXIFYLLINE	7.186231181057095e-06	5.143498815653154	5.425604541698107e-06	5.265551864023966
27072	CHEMBL629	AMITRIPTYLINE	1.0814318157240184e-06	5.966000857628784	6.48859089434411e-08	7.18784960724514
27111	CHEMBL128	SUMATRIPTAN	2.031075454453133e-07	6.692273942255493	1.6857926271961004e-07	6.77319584987942
27112	CHEMBL631	PROPAFENONE	5.8573729682237524e-06	5.232297121390443	2.6693432420559383e-07	6.573595578124688
27185	CHEMBL633	AMIODARONE	3.874046984441828e-06	5.411835116461491	7.748093968882886e-10	9.110805120797552
27190	CHEMBL634	ALFENTANIL	1.4404724749717906e-06	5.841495035948007	1.2388063284757392e-07	6.90699658470444
27251	CHEMBL636	RIVASTIGMINE	7.989134776703682e-08	7.097500252231686	4.7934808660222084e-08	7.319349001848043
27278	CHEMBL637	VENLAFAXINE	1.4419090876320248e-06	5.841062121020484	1.052593633971378e-06	5.977739260900028
27307	CHEMBL129	ZIDOVUDINE	5.653882132834425e-06	5.2476532495417905	4.438297474275023e-06	5.352783592796538
27308	CHEMBL638	VORICONAZOLE	5.439138898431238e-06	5.264469850533606	2.28443833734112e-06	5.641220560135706
27309	CHEMBL639	AZELASTINE	2.618417951873478e-08	7.581961030166877	4.451310518184913e-09	8.351512108788603
27340	CHEMBL130	CHLORAMPHENICOL	7.736824188407143e-05	4.111437271938078	2.6305202240584288e-05	4.5799583548958225
27341	CHEMBL640	PROCAINAMIDE	5.0992223685887896e-05	4.292496048761037	4.2833467896145834e-05	4.368216762699155
27342	CHEMBL641	ATOMOXETINE	3.9160401002506265e-06	5.407152869670635	7.832080200501253e-08	7.106122874006655
27347	CHEMBL642	ACEBUTOLOL	5.9447730582885e-06	5.225864719920689	4.399132063133489e-06	5.356633000189713
27368	CHEMBL643	PROMETHAZINE	1.4063214147593432e-06	5.851915409967919	1.2656892732834083e-07	6.897672900528594
27370	CHEMBL131	PREDNISOLONE	2.0224719101123594e-06	5.694117501541607	5.056179775280899e-07	6.296177492869569
27385	CHEMBL644	TRIMIPRAMINE	1.0188833038989266e-06	5.99187555433994	6.113299823393569e-08	7.213724303956295
27417	CHEMBL645	BISOPROLOL	3.072668612690122e-07	6.512484275877902	2.0279612843754802e-07	6.692940340336033
27419	CHEMBL646	TRIAZOLAM	5.827166249053085e-08	7.234542591311529	5.827166249053085e-09	8.234542591311529
27569	CHEMBL434394	NEBIVOLOL	4.932912391475927e-07	6.3068965975393665	9.865824782951855e-09	8.005866601875384
27570	CHEMBL649	NADOLOL	8.079893991790827e-07	6.092594337131638	1.1311851588507159e-07	6.9464663014534
27576	CHEMBL651	METHADONE	2.423654871546292e-06	5.615529223637132	5.089675230247212e-07	6.293309928903214
27588	CHEMBL652	FLECAINIDE	1.93073488596597e-06	5.714277356187775	8.784910703511522e-07	6.0562626486444175
27609	CHEMBL134	CLONIDINE	1.738374619730552e-08	7.759856627340681	9.734897870491092e-09	8.011668600334481
27610	CHEMBL654	MIRTAZAPINE	1.1305396442568585e-06	5.946714203791763	1.6958094663852872e-07	6.770622944736083
27611	CHEMBL655	MIDAZOLAM	4.9574853424194975e-08	7.304738561180298	8.675599349234121e-10	9.061700512494003
27616	CHEMBL22242	REMOXIPRIDE	5.790777849601378e-06	5.2372630954953685	9.265244559362205e-07	6.0331431128394435
27624	CHEMBL656	OXYCODONE	3.1708786504740465e-07	6.49882037810471	1.7439832577607254e-07	6.7584576886104655
27629	CHEMBL657	DIPHENHYDRAMINE	3.9160401002506267e-07	6.407152869670635	7.440476190476191e-08	7.128399268717806
27638	CHEMBL658	SUFENTANIL	2.586920529801325e-08	7.587216912605019	1.940190397350991e-09	8.712155649213319
27639	CHEMBL659	GALANTAMINE	2.0879732739420933e-07	6.680275064603567	1.722577951002227e-07	6.7638211160536414
27647	CHEMBL660	AMANTADINE	6.611570247933885e-06	5.179695383324506	2.181818181818182e-06	5.661181443446619
27648	CHEMBL661	ALPRAZOLAM	1.4250089063056646e-07	6.846182421306477	4.1325258282864274e-08	7.383784423407521
27713	CHEMBL21731	MAPROTILINE	4.686204534804081e-07	6.32917876004161	5.623445441764896e-08	7.249997513993985
27912	CHEMBL137	METRONIDAZOLE	5.2582379060528164e-05	4.27915976837257	5.0216172002804396e-05	4.299156396788824
27986	CHEMBL22587	ITRACONAZOLE	6.518812442428964e-07	6.185831514187599	1.303762488485793e-09	8.884801518523616
28119	CHEMBL669	CYCLOBENZAPRINE	1.4524328249818446e-07	6.837903944592942	1.1387073347857707e-08	7.943587881908503
29005	CHEMBL680	CEFACLOR	0.0024469155270384164	2.6113810232000385	0.0018425273918599276	2.734586046999338
29090	CHEMBL681	ETOMIDATE	2.046747717876294e-06	5.688935685176481	4.707519751115477e-07	6.327207849158888
29637	CHEMBL685	MEBENDAZOLE	3.3863867253640365e-07	6.470263446965078	2.9122925838130712e-08	7.535764995721511
29890	CHEMBL139	DICLOFENAC	3.7345939557656593e-06	5.427756610008283	1.8672969778828294e-08	7.728786605672264
31289	CHEMBL284348	DALFAMPRIDINE	7.968550786230344e-07	6.098620655112284	7.968550786230344e-07	6.098620655112284
31811	CHEMBL696	ETHOSUXIMIDE	0.00042501948005950273	3.3715911643297605	0.00042501948005950273	3.3715911643297605
32869	CHEMBL701	BACLOFEN	1.7785266310961337e-06	5.749939627441087	1.2271833754563322e-06	5.911090536703832
33055	CHEMBL702	PIPERACILLIN	0.00013525001932143137	3.8688626641793196	6.762500966071569e-05	4.169892659843301
33202	CHEMBL704	MESALAMINE	6.5299725741151905e-06	5.185088642757919	2.5466893039049242e-06	5.594024035731421
33373	CHEMBL707	DOXAZOSIN	3.3224063081421103e-07	6.478547257316939	5.648090723841588e-09	8.248098335938666
33466	CHEMBL279516	INDORAMIN	2.8780291256547517e-07	6.540904815317018	4.3170436884821266e-08	7.364813556261336
33664	CHEMBL708	ZIPRASIDONE	4.843201356096379e-07	6.31486747478503	5.811841627315631e-10	9.235686228737407
33667	CHEMBL709	ALFUZOSIN	9.44898063986032e-08	7.024615040841249	1.3228572895804449e-08	7.878487005163012
33679	CHEMBL710	FINASTERIDE	2.6842034626224667e-08	7.571184567733605	2.5499932894913432e-09	8.593460962444757
33986	CHEMBL141	LAMIVUDINE	7.720492017796389e-06	5.112355021710246	7.257262496728605e-06	5.139227168110547
34094	CHEMBL714	ALBUTEROL	8.357360745476579e-08	7.077930851106911	7.688771885838451e-08	7.114143023761356
34197	CHEMBL715	OLANZAPINE	2.5604916143899626e-07	6.591676642141684	1.156172065036487e-08	7.936977528082395
34234	CHEMBL716	QUETIAPINE	1.3037129745515228e-06	5.88481801235356	1.2156560283687943e-07	6.915189291933118
36662	CHEMBL723	CARVEDILOL	7.380436921865773e-07	6.1319179271825766	1.4760873843731545e-08	7.830887931518595
36842	CHEMBL726	FLUPHENAZINE	2.285557561767193e-08	7.641007836530388	9.142230247068772e-10	9.038947845202426
